계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,6831.0,6562.0,6635.0,6467.0,1604.0,1689.0,1683.0,1657.0
Operating Income,-500.0,-278.0,-16.0,51.0,-55.0,79.0,-23.0,9.0
Oper.Income(Rep.),-500.0,-278.0,-16.0,nan,-55.0,79.0,-23.0,9.0
Net Income,-1362.0,-963.0,40.0,14.0,-44.0,47.0,-96.0,2.0
Net Income(Contr.),-1341.0,-938.0,6.0,14.0,-48.0,47.0,-91.0,2.0
Net Income(Minor.),-21.0,-25.0,34.0,nan,4.0,-0.0,-6.0,nan
Total Assets,6667.0,6045.0,6053.0,5967.0,6044.0,6051.0,6053.0,nan
Total Liabilities,2623.0,2960.0,2920.0,2827.0,2853.0,2809.0,2920.0,nan
Total Equity,4044.0,3085.0,3132.0,3140.0,3191.0,3241.0,3132.0,nan
Net Income(Contr.),3985.0,3060.0,3102.0,3109.0,3150.0,3207.0,3102.0,nan
Net Income(Minor.),59.0,25.0,31.0,31.0,41.0,35.0,31.0,nan
Capital Stock,521.0,521.0,521.0,521.0,521.0,521.0,521.0,nan
Total Debt/Equity,64.87,95.94,93.22,90.03,89.43,86.66,93.22,nan
Reserve Ratio,891.51,717.93,727.41,nan,735.25,746.62,727.41,nan
Oper.Income Margin,-7.31,-4.24,-0.24,0.79,-3.4,4.66,-1.39,nan
Net Income Margin,-19.63,-14.3,0.1,0.22,-2.97,2.78,-5.39,0.12
ROA,-18.4,-15.15,0.67,0.23,-2.92,3.09,-6.37,nan
ROE,-29.64,-26.64,0.21,0.45,-6.01,5.91,-11.5,nan
EPS(KRW),-1288.0,-901.0,6.0,13.0,-46.0,45.0,-87.0,2.0
BPS(KRW),4958.0,4090.0,4137.0,4144.0,4176.0,4233.0,4137.0,nan
DPS(KRW),30.0,0.0,0.0,nan,nan,nan,0.0,nan
PER,nan,nan,404.31,172.25,nan,nan,nan,nan
PBR,0.53,0.63,0.61,0.56,0.59,0.51,0.61,nan
Issued Shares,84703.0,84703.0,84703.0,nan,84703.0,84703.0,84703.0,nan
Div Yield,1.15,0.0,0.0,nan,nan,nan,0.0,nan
