계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,2648.0,2651.0,2911.0,3216.0,699.0,715.0,813.0,763.0
Operating Income,198.0,109.0,27.0,73.0,20.0,38.0,-39.0,32.0
Oper.Income(Rep.),198.0,109.0,27.0,nan,20.0,38.0,-39.0,32.0
Net Income,159.0,34.0,-20.0,20.0,0.0,7.0,-23.0,21.0
Net Income(Contr.),161.0,37.0,-18.0,18.0,-0.0,9.0,-24.0,25.0
Net Income(Minor.),-2.0,-3.0,-2.0,nan,0.0,-2.0,1.0,nan
Total Assets,4496.0,4988.0,5909.0,5930.0,5552.0,5502.0,5909.0,nan
Total Liabilities,1448.0,1953.0,2479.0,2530.0,2397.0,2379.0,2479.0,nan
Total Equity,3048.0,3035.0,3430.0,3400.0,3156.0,3122.0,3430.0,nan
Net Income(Contr.),2858.0,2844.0,3247.0,3220.0,2958.0,2945.0,3247.0,nan
Net Income(Minor.),189.0,191.0,183.0,180.0,197.0,177.0,183.0,nan
Capital Stock,69.0,138.0,138.0,140.0,138.0,138.0,138.0,nan
Total Debt/Equity,47.52,64.36,72.27,74.41,75.95,76.21,72.27,nan
Reserve Ratio,4062.92,1968.13,2249.86,nan,2041.37,2031.8,2249.86,nan
Oper.Income Margin,7.48,4.12,0.91,2.27,2.82,5.34,-4.85,nan
Net Income Margin,6.09,1.4,-0.62,0.56,0.0,1.19,-2.93,2.8
ROA,3.62,0.72,-0.36,0.34,0.02,0.49,-1.61,nan
ROE,5.82,1.3,-0.59,0.56,0.0,1.15,-3.08,nan
EPS(KRW),587.0,135.0,-65.0,65.0,-0.0,31.0,-86.0,91.0
BPS(KRW),10416.0,10341.0,11749.0,11621.0,10707.0,10659.0,11749.0,nan
DPS(KRW),175.0,100.0,100.0,100.0,nan,nan,100.0,nan
PER,28.03,212.12,nan,256.92,nan,nan,nan,nan
PBR,1.58,2.77,1.3,1.44,1.77,1.63,1.3,nan
Issued Shares,27485.0,27518.0,27641.0,nan,27637.0,27637.0,27641.0,nan
Div Yield,1.06,0.35,0.65,nan,nan,nan,0.65,nan
