계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1653.0,3429.0,6915.0,10459.0,1814.0,1867.0,1736.0,1961.0
Operating Income,142.0,478.0,1376.0,2027.0,389.0,426.0,266.0,391.0
Oper.Income(Rep.),142.0,478.0,1376.0,nan,389.0,426.0,266.0,nan
Net Income,112.0,380.0,1207.0,1690.0,333.0,299.0,320.0,317.0
Net Income(Contr.),112.0,380.0,1207.0,1676.0,333.0,299.0,320.0,319.0
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,1292.0,2153.0,4578.0,6722.0,3927.0,4171.0,4578.0,nan
Total Liabilities,328.0,803.0,1962.0,2354.0,1965.0,1944.0,1962.0,nan
Total Equity,964.0,1350.0,2616.0,4369.0,1962.0,2228.0,2616.0,nan
Net Income(Contr.),964.0,1350.0,2616.0,4369.0,1962.0,2228.0,2616.0,nan
Net Income(Minor.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
Capital Stock,302.0,303.0,305.0,307.0,305.0,305.0,305.0,nan
Total Debt/Equity,34.06,59.52,74.99,53.88,100.16,87.25,74.99,nan
Reserve Ratio,219.27,345.45,756.62,nan,542.48,629.48,756.62,nan
Oper.Income Margin,8.62,13.94,19.89,19.38,21.47,22.82,15.32,19.96
Net Income Margin,6.75,11.09,17.46,16.02,18.39,15.99,18.44,16.28
ROA,9.85,22.07,35.88,29.91,37.91,29.49,29.26,27.7
ROE,12.21,32.86,60.9,47.98,74.59,57.0,52.86,48.82
EPS(KRW),185.0,631.0,1990.0,2593.0,551.0,490.0,526.0,494.0
BPS(KRW),1602.0,2235.0,4297.0,6662.0,3223.0,3659.0,4297.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,13.29,12.23,16.43,14.23,nan,nan,nan,nan
PBR,1.53,3.45,7.61,5.54,14.58,12.62,7.61,nan
Issued Shares,60177.0,60389.0,60873.0,nan,60873.0,60873.0,60873.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
