계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,2663.0,3450.0,3935.0,nan,942.0,988.0,1092.0,nan
Operating Income,-306.0,77.0,96.0,nan,16.0,23.0,36.0,nan
Oper.Income(Rep.),-306.0,77.0,96.0,nan,16.0,23.0,36.0,nan
Net Income,-228.0,102.0,114.0,nan,24.0,19.0,36.0,nan
Net Income(Contr.),-228.0,102.0,114.0,nan,24.0,19.0,36.0,nan
Net Income(Minor.),-0.0,-0.0,0.0,nan,0.0,0.0,0.0,nan
Total Assets,3723.0,3909.0,4003.0,nan,3881.0,3996.0,4003.0,nan
Total Liabilities,1506.0,1620.0,1732.0,nan,1647.0,1781.0,1732.0,nan
Total Equity,2216.0,2289.0,2271.0,nan,2234.0,2215.0,2271.0,nan
Net Income(Contr.),2216.0,2289.0,2271.0,nan,2234.0,2215.0,2271.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,70.0,70.0,70.0,nan,70.0,70.0,70.0,nan
Total Debt/Equity,67.97,70.78,76.25,nan,73.75,80.43,76.25,nan
Reserve Ratio,3097.7,3244.77,3198.66,nan,3200.5,3205.45,3198.66,nan
Oper.Income Margin,-11.48,2.23,2.44,nan,1.68,2.31,3.26,nan
Net Income Margin,-8.57,2.97,2.89,nan,2.58,1.88,3.25,nan
ROA,-6.31,2.68,2.88,nan,2.5,1.88,3.55,nan
ROE,-10.71,4.54,4.99,nan,4.39,3.34,6.34,nan
EPS(KRW),-1627.0,728.0,817.0,nan,173.0,132.0,261.0,nan
BPS(KRW),15989.0,16724.0,17310.0,nan,16502.0,16527.0,17310.0,nan
DPS(KRW),500.0,500.0,500.0,nan,nan,nan,500.0,nan
PER,nan,17.77,16.6,nan,nan,nan,nan,nan
PBR,0.76,0.77,0.78,nan,0.84,0.75,0.78,nan
Issued Shares,14053.0,14053.0,13390.0,nan,14053.0,14053.0,13390.0,nan
Div Yield,4.12,3.86,3.69,nan,nan,nan,3.69,nan
