계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,14315.0,15145.0,16407.0,nan,4128.0,4246.0,3908.0,3776.0
Operating Income,382.0,421.0,301.0,nan,50.0,14.0,67.0,33.0
Oper.Income(Rep.),382.0,421.0,301.0,nan,50.0,14.0,67.0,33.0
Net Income,267.0,394.0,418.0,nan,17.0,90.0,128.0,41.0
Net Income(Contr.),242.0,370.0,405.0,nan,13.0,88.0,121.0,37.0
Net Income(Minor.),25.0,24.0,14.0,nan,4.0,1.0,7.0,nan
Total Assets,9320.0,10781.0,11703.0,nan,11356.0,11822.0,11703.0,nan
Total Liabilities,3850.0,4900.0,5520.0,nan,5302.0,5656.0,5520.0,nan
Total Equity,5470.0,5880.0,6183.0,nan,6055.0,6167.0,6183.0,nan
Net Income(Contr.),5173.0,5446.0,5791.0,nan,5623.0,5736.0,5791.0,nan
Net Income(Minor.),297.0,434.0,391.0,nan,431.0,430.0,391.0,nan
Capital Stock,524.0,524.0,524.0,nan,524.0,524.0,524.0,nan
Total Debt/Equity,70.37,83.33,89.28,nan,87.56,91.72,89.28,nan
Reserve Ratio,976.2,1040.14,1113.73,nan,1073.95,1095.5,1113.73,nan
Oper.Income Margin,2.67,2.78,1.83,nan,1.22,0.32,1.7,nan
Net Income Margin,1.69,2.44,2.47,nan,0.32,2.08,3.11,1.08
ROA,2.94,3.92,3.72,nan,0.61,3.09,4.36,nan
ROE,4.76,6.96,7.2,nan,0.94,6.21,8.43,nan
EPS(KRW),461.0,705.0,772.0,nan,25.0,168.0,232.0,72.0
BPS(KRW),10762.0,11401.0,12137.0,nan,11739.0,11955.0,12137.0,nan
DPS(KRW),100.0,100.0,100.0,nan,nan,nan,100.0,nan
PER,12.92,10.54,7.04,nan,nan,nan,nan,nan
PBR,0.55,0.65,0.45,nan,0.55,0.49,0.45,nan
Issued Shares,52421.0,52421.0,52421.0,nan,52421.0,52421.0,52421.0,nan
Div Yield,1.68,1.35,1.84,nan,nan,nan,1.84,nan
