계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,16975.0,10419.0,12314.0,12977.0,3117.0,3248.0,3011.0,3036.0
Operating Income,3524.0,-881.0,-470.0,120.0,36.0,5.0,-362.0,-163.0
Oper.Income(Rep.),3524.0,-881.0,-470.0,nan,36.0,5.0,-362.0,-163.0
Net Income,2461.0,-1151.0,-310.0,-87.0,-159.0,214.0,-213.0,-362.0
Net Income(Contr.),2458.0,-1149.0,-303.0,-87.0,-160.0,214.0,-206.0,-359.0
Net Income(Minor.),3.0,-3.0,-7.0,nan,1.0,0.0,-7.0,nan
Total Assets,12663.0,11761.0,14433.0,13923.0,14047.0,14402.0,14433.0,nan
Total Liabilities,6537.0,7056.0,9948.0,9613.0,9618.0,9779.0,9948.0,nan
Total Equity,6126.0,4704.0,4485.0,4310.0,4428.0,4624.0,4485.0,nan
Net Income(Contr.),6105.0,4687.0,4472.0,4290.0,4411.0,4606.0,4472.0,nan
Net Income(Minor.),21.0,18.0,12.0,20.0,18.0,18.0,12.0,nan
Capital Stock,171.0,171.0,171.0,170.0,171.0,171.0,171.0,nan
Total Debt/Equity,106.71,149.99,221.82,223.05,217.2,211.49,221.82,nan
Reserve Ratio,3475.13,2644.67,2519.17,nan,2482.96,2597.2,2519.17,nan
Oper.Income Margin,20.76,-8.46,-3.81,0.92,1.16,0.16,-12.01,nan
Net Income Margin,14.48,-11.02,-2.46,-0.67,-5.13,6.58,-6.83,-11.92
ROA,23.18,-9.43,-2.37,-0.61,-4.59,6.01,-5.9,nan
ROE,49.67,-21.29,-6.63,-1.99,-14.29,18.95,-18.13,nan
EPS(KRW),7717.0,-3606.0,-953.0,-274.0,-501.0,671.0,-646.0,-1127.0
BPS(KRW),19169.0,14716.0,14043.0,13471.0,13849.0,14462.0,14043.0,nan
DPS(KRW),500.0,160.0,100.0,120.0,nan,nan,100.0,nan
PER,3.43,nan,nan,nan,nan,nan,nan,nan
PBR,1.38,2.62,0.79,1.21,2.6,1.33,0.79,nan
Issued Shares,31854.0,31854.0,31854.0,nan,31854.0,31854.0,31854.0,nan
Div Yield,1.89,0.42,0.91,nan,nan,nan,0.91,nan
