계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,865590.0,998084.0,1074488.0,1132468.0,275679.0,265199.0,271481.0,280175.0
Operating Income,72331.0,116079.0,126671.0,117536.0,36437.0,28813.0,27164.0,30086.0
Oper.Income(Rep.),72331.0,116079.0,126671.0,nan,36437.0,28813.0,27164.0,30086.0
Net Income,54090.0,87778.0,97750.0,93481.0,29566.0,22679.0,17414.0,23926.0
Net Income(Contr.),54094.0,87770.0,97730.0,93479.0,29555.0,22677.0,17419.0,23930.0
Net Income(Minor.),-5.0,8.0,20.0,nan,11.0,2.0,-5.0,nan
Total Assets,737110.0,806278.0,927559.0,1004809.0,860459.0,875353.0,927559.0,nan
Total Liabilities,343679.0,340696.0,369156.0,379292.0,352141.0,352619.0,369156.0,nan
Total Equity,393431.0,465582.0,558403.0,625517.0,508317.0,522734.0,558403.0,nan
Net Income(Contr.),393379.0,465524.0,558312.0,626390.0,508232.0,522639.0,558312.0,nan
Net Income(Minor.),51.0,59.0,91.0,-872.0,85.0,95.0,91.0,nan
Capital Stock,21393.0,21393.0,21393.0,21385.0,21393.0,21393.0,21393.0,nan
Total Debt/Equity,87.35,73.18,66.11,60.64,69.28,67.46,66.11,nan
Reserve Ratio,1750.44,2094.5,2526.05,nan,2308.55,2375.9,2526.05,nan
Oper.Income Margin,8.36,11.63,11.79,10.38,13.22,10.86,10.01,nan
Net Income Margin,6.25,8.79,9.1,8.25,10.72,8.55,6.42,8.54
ROA,7.7,11.37,11.28,9.68,13.94,10.45,7.73,nan
ROE,14.57,20.44,19.09,15.78,24.1,17.6,12.89,nan
EPS(KRW),13345.0,21770.0,24413.0,23506.0,7374.0,5671.0,4370.0,6017.0
BPS(KRW),97658.0,116771.0,141271.0,158390.0,128862.0,132465.0,141271.0,nan
DPS(KRW),3500.0,5600.0,6500.0,6470.0,nan,nan,6500.0,nan
PER,4.44,4.59,4.12,3.89,nan,nan,nan,nan
PBR,0.61,0.86,0.71,0.58,1.0,0.75,0.71,nan
Issued Shares,405363.0,402044.0,397673.0,nan,399858.0,399858.0,397673.0,nan
Div Yield,5.9,5.6,6.45,nan,nan,nan,6.45,nan
