계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,1560.0,1604.0,1718.0,nan,nan,nan,nan,nan
Operating Income,-148.0,-202.0,110.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),-148.0,-202.0,110.0,nan,nan,nan,0.0,nan
Net Income,-167.0,-242.0,87.0,nan,nan,nan,nan,nan
Net Income(Contr.),-167.0,-242.0,87.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,3126.0,2938.0,2845.0,nan,nan,nan,2845.0,nan
Total Liabilities,1648.0,1708.0,1535.0,nan,nan,nan,1535.0,nan
Total Equity,1478.0,1230.0,1310.0,nan,nan,nan,1310.0,nan
Net Income(Contr.),1478.0,1230.0,1310.0,nan,nan,nan,1310.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,137.0,137.0,137.0,nan,nan,nan,137.0,nan
Total Debt/Equity,111.5,138.8,117.15,nan,nan,nan,117.15,nan
Reserve Ratio,977.66,797.01,855.23,nan,nan,nan,855.23,nan
Oper.Income Margin,-9.49,-12.57,6.38,nan,nan,nan,nan,nan
Net Income Margin,-10.7,-15.09,5.07,nan,nan,nan,nan,nan
ROA,-5.47,-7.98,3.01,nan,nan,nan,nan,nan
ROE,-10.8,-17.87,6.85,nan,nan,nan,nan,nan
EPS(KRW),-3045.0,-4410.0,1586.0,nan,nan,nan,0.0,nan
BPS(KRW),26941.0,22425.0,23881.0,nan,nan,nan,23881.0,nan
DPS(KRW),nan,nan,100.0,nan,nan,nan,100.0,nan
PER,nan,nan,13.87,nan,nan,nan,nan,nan
PBR,0.88,1.06,0.92,nan,nan,nan,0.92,nan
Issued Shares,5486.0,5486.0,5486.0,nan,nan,nan,5486.0,nan
Div Yield,nan,nan,0.45,nan,nan,nan,0.45,nan
