계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,172348.0,132768.0,138282.0,143817.0,33690.0,35697.0,36423.0,34898.0
Operating Income,9161.0,8082.0,9111.0,9786.0,2209.0,2528.0,2115.0,2685.0
Oper.Income(Rep.),9161.0,8082.0,9111.0,nan,2209.0,2528.0,2115.0,2685.0
Net Income,11300.0,7013.0,7895.0,8371.0,1905.0,1858.0,1963.0,2177.0
Net Income(Contr.),10997.0,6934.0,7570.0,8159.0,1766.0,1797.0,1898.0,2115.0
Net Income(Minor.),303.0,79.0,325.0,nan,139.0,61.0,65.0,nan
Total Assets,119524.0,123210.0,132383.0,138175.0,126824.0,128027.0,132383.0,nan
Total Liabilities,34855.0,33455.0,35329.0,35203.0,34070.0,34096.0,35329.0,nan
Total Equity,84670.0,89756.0,97054.0,102971.0,92754.0,93931.0,97054.0,nan
Net Income(Contr.),82232.0,86580.0,93331.0,99377.0,89404.0,90295.0,93331.0,nan
Net Income(Minor.),2438.0,3176.0,3723.0,3595.0,3350.0,3636.0,3723.0,nan
Capital Stock,387.0,387.0,387.0,389.0,387.0,387.0,387.0,nan
Total Debt/Equity,41.17,37.27,36.4,34.19,36.73,36.3,36.4,nan
Reserve Ratio,21158.77,22282.65,24027.62,nan,23012.64,23242.79,24027.62,nan
Oper.Income Margin,5.32,6.09,6.59,6.8,6.56,7.08,5.81,nan
Net Income Margin,6.38,5.22,5.47,5.67,5.24,5.03,5.21,6.24
ROA,10.06,5.78,6.18,6.19,6.06,5.83,6.03,nan
ROE,14.23,8.22,8.42,8.47,8.0,8.0,8.27,nan
EPS(KRW),14213.0,8962.0,9783.0,10545.0,2283.0,2322.0,2453.0,2733.0
BPS(KRW),106294.0,111913.0,120638.0,128451.0,115563.0,116714.0,120638.0,nan
DPS(KRW),3200.0,2700.0,2900.0,2955.0,nan,nan,2900.0,nan
PER,8.65,18.97,13.06,12.59,nan,nan,nan,nan
PBR,1.16,1.52,1.06,1.03,1.29,1.33,1.06,nan
Issued Shares,77378.0,77378.0,77378.0,nan,77378.0,77378.0,77378.0,nan
Div Yield,2.6,1.59,2.27,nan,nan,nan,2.27,nan
