계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,1080.0,1114.0,1149.0,1606.0,261.0,246.0,387.0,319.0
Operating Income,8.0,3.0,15.0,220.0,-2.0,-11.0,25.0,37.0
Oper.Income(Rep.),8.0,3.0,15.0,nan,-2.0,-11.0,25.0,37.0
Net Income,49.0,177.0,197.0,207.0,25.0,7.0,-55.0,43.0
Net Income(Contr.),28.0,174.0,257.0,200.0,28.0,17.0,-8.0,39.0
Net Income(Minor.),21.0,2.0,-60.0,nan,-3.0,-10.0,-47.0,nan
Total Assets,4733.0,5094.0,4829.0,8050.0,5191.0,4722.0,4829.0,nan
Total Liabilities,1655.0,1811.0,1250.0,4288.0,1672.0,1226.0,1250.0,nan
Total Equity,3078.0,3283.0,3580.0,3762.0,3519.0,3496.0,3580.0,nan
Net Income(Contr.),2717.0,2876.0,3089.0,3265.0,3111.0,3104.0,3089.0,nan
Net Income(Minor.),362.0,407.0,490.0,497.0,408.0,392.0,490.0,nan
Capital Stock,134.0,134.0,134.0,134.0,134.0,134.0,134.0,nan
Total Debt/Equity,53.76,55.17,34.92,113.98,47.52,35.06,34.92,nan
Reserve Ratio,2095.81,2158.84,2362.54,nan,2334.46,2344.36,2362.54,nan
Oper.Income Margin,0.74,0.27,1.33,13.7,-0.81,-4.57,6.37,nan
Net Income Margin,2.58,15.65,22.34,12.45,10.74,6.88,-2.19,13.57
ROA,1.06,3.6,3.97,3.21,1.95,0.56,-4.62,nan
ROE,1.01,6.24,8.6,6.29,3.62,2.18,-1.1,nan
EPS(KRW),104.0,652.0,969.0,755.0,106.0,64.0,-32.0,148.0
BPS(KRW),10979.0,11423.0,12453.0,13116.0,12311.0,12361.0,12453.0,nan
DPS(KRW),100.0,100.0,100.0,100.0,nan,nan,100.0,nan
PER,215.8,27.69,13.52,20.84,nan,nan,nan,nan
PBR,2.04,1.58,1.05,1.2,1.16,0.98,1.05,nan
Issued Shares,26786.0,26484.0,26484.0,nan,26484.0,26484.0,26484.0,nan
Div Yield,0.45,0.55,0.76,nan,nan,nan,0.76,nan
