계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,780.0,637.0,982.0,nan,254.0,262.0,262.0,nan
Operating Income,193.0,163.0,188.0,nan,50.0,53.0,39.0,nan
Oper.Income(Rep.),193.0,163.0,188.0,nan,50.0,53.0,39.0,nan
Net Income,154.0,92.0,85.0,nan,-28.0,1.0,76.0,nan
Net Income(Contr.),144.0,75.0,70.0,nan,-32.0,-2.0,72.0,nan
Net Income(Minor.),11.0,17.0,15.0,nan,4.0,3.0,4.0,nan
Total Assets,4011.0,4059.0,5244.0,nan,5009.0,4887.0,5244.0,nan
Total Liabilities,252.0,222.0,344.0,nan,409.0,326.0,344.0,nan
Total Equity,3759.0,3837.0,4900.0,nan,4600.0,4561.0,4900.0,nan
Net Income(Contr.),3718.0,3779.0,4824.0,nan,4493.0,4452.0,4824.0,nan
Net Income(Minor.),41.0,58.0,77.0,nan,107.0,109.0,77.0,nan
Capital Stock,559.0,558.0,871.0,nan,824.0,817.0,871.0,nan
Total Debt/Equity,6.7,5.79,7.03,nan,8.88,7.15,7.03,nan
Reserve Ratio,564.47,577.74,453.86,nan,445.29,445.12,453.86,nan
Oper.Income Margin,24.72,25.61,19.19,nan,19.75,20.44,14.89,nan
Net Income Margin,18.43,11.85,7.13,nan,-12.6,-0.65,27.38,nan
ROA,4.08,2.29,1.82,nan,-2.25,0.11,6.0,nan
ROE,4.05,2.01,1.63,nan,-2.93,-0.15,6.2,nan
EPS(KRW),161.0,79.0,56.0,nan,-25.0,-1.0,55.0,nan
BPS(KRW),3877.0,3941.0,3692.0,nan,3439.0,3408.0,3692.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,5.66,19.71,14.61,nan,nan,nan,nan,nan
PBR,0.23,0.39,0.22,nan,0.33,0.31,0.22,nan
Issued Shares,95891.0,95891.0,130640.0,nan,130640.0,130640.0,130640.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
