계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,4013.0,4586.0,5874.0,nan,1536.0,1380.0,1770.0,1419.0
Operating Income,236.0,370.0,296.0,nan,94.0,74.0,51.0,174.0
Oper.Income(Rep.),236.0,370.0,296.0,nan,94.0,74.0,51.0,174.0
Net Income,57.0,203.0,928.0,nan,150.0,613.0,91.0,212.0
Net Income(Contr.),57.0,203.0,923.0,nan,149.0,611.0,89.0,213.0
Net Income(Minor.),nan,0.0,5.0,nan,0.0,2.0,2.0,nan
Total Assets,4143.0,8794.0,8701.0,nan,7270.0,7911.0,8701.0,nan
Total Liabilities,1293.0,4842.0,4758.0,nan,4059.0,4047.0,4758.0,nan
Total Equity,2850.0,3952.0,3943.0,nan,3210.0,3864.0,3943.0,nan
Net Income(Contr.),2850.0,3949.0,3935.0,nan,3207.0,3858.0,3935.0,nan
Net Income(Minor.),0.0,3.0,8.0,nan,4.0,6.0,8.0,nan
Capital Stock,1006.0,1006.0,1006.0,nan,1006.0,1006.0,1006.0,nan
Total Debt/Equity,45.38,122.51,120.67,nan,126.45,104.75,120.67,nan
Reserve Ratio,211.73,321.03,319.6,nan,247.19,311.99,319.6,nan
Oper.Income Margin,5.88,8.07,5.04,nan,6.12,5.35,2.88,nan
Net Income Margin,1.42,4.42,15.71,nan,9.72,44.28,5.05,14.93
ROA,1.12,3.14,10.61,nan,8.88,32.3,4.4,nan
ROE,1.58,5.96,23.42,nan,19.08,69.19,9.18,nan
EPS(KRW),28.0,101.0,459.0,nan,74.0,304.0,44.0,106.0
BPS(KRW),1559.0,2105.0,2098.0,nan,1736.0,2060.0,2098.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,28.28,17.19,2.84,nan,nan,nan,nan,nan
PBR,0.52,0.82,0.62,nan,0.78,0.7,0.62,nan
Issued Shares,201174.0,201174.0,201174.0,nan,201174.0,201174.0,201174.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
