계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,7294.0,8090.0,9023.0,9015.0,2627.0,2114.0,1864.0,1580.0
Operating Income,848.0,118.0,-644.0,-608.0,30.0,-317.0,-401.0,-460.0
Oper.Income(Rep.),848.0,118.0,-644.0,nan,30.0,-317.0,-401.0,-460.0
Net Income,490.0,-451.0,288.0,-272.0,80.0,65.0,148.0,-548.0
Net Income(Contr.),438.0,-325.0,63.0,-256.0,54.0,45.0,-24.0,-467.0
Net Income(Minor.),52.0,-126.0,225.0,nan,27.0,21.0,172.0,nan
Total Assets,24303.0,23922.0,22820.0,23956.0,23382.0,23567.0,22820.0,nan
Total Liabilities,4402.0,4264.0,3801.0,5019.0,5556.0,5144.0,3801.0,nan
Total Equity,19901.0,19658.0,19020.0,18936.0,17827.0,18423.0,19020.0,nan
Net Income(Contr.),14599.0,14335.0,13336.0,13219.0,13166.0,13677.0,13336.0,nan
Net Income(Minor.),5302.0,5323.0,5683.0,5717.0,4660.0,4746.0,5683.0,nan
Capital Stock,231.0,231.0,231.0,240.0,231.0,231.0,231.0,nan
Total Debt/Equity,22.12,21.69,19.98,26.51,31.17,27.92,19.98,nan
Reserve Ratio,6232.16,6117.61,5684.45,nan,5610.75,5832.14,5684.45,nan
Oper.Income Margin,11.62,1.46,-7.14,-6.74,1.15,-15.01,-21.49,nan
Net Income Margin,6.01,-4.02,0.7,-2.84,2.05,2.11,-1.31,-34.68
ROA,2.34,-1.87,1.23,-1.16,1.32,1.11,2.55,nan
ROE,3.58,-2.25,0.46,-1.93,1.56,1.33,-0.72,nan
EPS(KRW),950.0,-706.0,137.0,-498.0,117.0,97.0,-53.0,-908.0
BPS(KRW),31661.0,31088.0,28922.0,25244.0,28554.0,29661.0,28922.0,nan
DPS(KRW),300.0,200.0,nan,167.0,nan,nan,nan,nan
PER,54.6,nan,172.76,nan,nan,nan,nan,nan
PBR,1.64,1.35,0.82,0.84,1.85,1.39,0.82,nan
Issued Shares,46111.0,46111.0,46111.0,nan,46111.0,46111.0,46111.0,nan
Div Yield,0.58,0.48,nan,nan,nan,nan,nan,nan
