계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,3026.0,2835.0,2808.0,nan,nan,nan,nan,nan
Operating Income,119.0,111.0,9.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),119.0,111.0,9.0,nan,nan,nan,0.0,nan
Net Income,129.0,79.0,-0.0,nan,nan,nan,nan,nan
Net Income(Contr.),129.0,79.0,-0.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,2474.0,2211.0,2251.0,nan,nan,nan,2251.0,nan
Total Liabilities,803.0,466.0,497.0,nan,nan,nan,497.0,nan
Total Equity,1670.0,1745.0,1754.0,nan,nan,nan,1754.0,nan
Net Income(Contr.),1670.0,1745.0,1754.0,nan,nan,nan,1754.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,542.0,542.0,542.0,nan,nan,nan,542.0,nan
Total Debt/Equity,48.1,26.7,28.33,nan,nan,nan,28.33,nan
Reserve Ratio,243.28,257.15,258.74,nan,nan,nan,258.74,nan
Oper.Income Margin,3.94,3.91,0.33,nan,nan,nan,nan,nan
Net Income Margin,4.25,2.8,-0.01,nan,nan,nan,nan,nan
ROA,5.21,3.38,-0.01,nan,nan,nan,nan,nan
ROE,7.69,4.64,-0.02,nan,nan,nan,nan,nan
EPS(KRW),119.0,73.0,-0.0,nan,nan,nan,0.0,nan
BPS(KRW),1716.0,1786.0,1794.0,nan,nan,nan,1794.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,12.9,15.54,nan,nan,nan,nan,nan,nan
PBR,0.89,0.64,0.56,nan,nan,nan,0.56,nan
Issued Shares,108395.0,108395.0,108395.0,nan,nan,nan,108395.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
