계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,38197.0,34298.0,33010.0,nan,8584.0,8349.0,7891.0,8126.0
Operating Income,3404.0,2804.0,2060.0,nan,745.0,427.0,367.0,652.0
Oper.Income(Rep.),3404.0,2804.0,2060.0,nan,745.0,427.0,367.0,652.0
Net Income,5348.0,2352.0,1325.0,nan,379.0,464.0,449.0,465.0
Net Income(Contr.),5360.0,2344.0,1334.0,nan,382.0,458.0,454.0,465.0
Net Income(Minor.),-12.0,9.0,-9.0,nan,-3.0,6.0,-5.0,nan
Total Assets,30515.0,31955.0,33414.0,nan,32703.0,33015.0,33414.0,nan
Total Liabilities,13613.0,13049.0,13812.0,nan,13569.0,13647.0,13812.0,nan
Total Equity,16902.0,18906.0,19602.0,nan,19134.0,19368.0,19602.0,nan
Net Income(Contr.),16907.0,18903.0,19613.0,nan,19144.0,19373.0,19613.0,nan
Net Income(Minor.),-6.0,2.0,-11.0,nan,-10.0,-5.0,-11.0,nan
Capital Stock,5553.0,5553.0,5553.0,nan,5553.0,5553.0,5553.0,nan
Total Debt/Equity,80.54,69.02,70.46,nan,70.92,70.46,70.46,nan
Reserve Ratio,204.5,240.44,255.86,nan,244.77,249.33,255.86,nan
Oper.Income Margin,8.91,8.18,6.24,nan,8.68,5.11,4.65,nan
Net Income Margin,14.03,6.83,4.04,nan,4.45,5.49,5.75,5.72
ROA,18.37,7.53,4.05,nan,4.69,5.65,5.41,nan
ROE,37.73,13.09,6.93,nan,8.06,9.51,9.31,nan
EPS(KRW),5357.0,2342.0,1333.0,nan,382.0,458.0,453.0,465.0
BPS(KRW),16899.0,18893.0,19749.0,nan,19133.0,19387.0,19749.0,nan
DPS(KRW),150.0,200.0,250.0,nan,nan,nan,250.0,nan
PER,1.38,3.8,4.15,nan,nan,nan,nan,nan
PBR,0.44,0.47,0.28,nan,0.33,0.35,0.28,nan
Issued Shares,100009.0,100009.0,100009.0,nan,100009.0,100009.0,100009.0,nan
Div Yield,2.03,2.25,4.52,nan,nan,nan,4.52,nan
