계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,21149.0,22696.0,24561.0,25960.0,5994.0,6084.0,6439.0,6001.0
Operating Income,391.0,556.0,-326.0,1154.0,285.0,-1134.0,250.0,276.0
Oper.Income(Rep.),391.0,556.0,-326.0,nan,285.0,-1134.0,250.0,276.0
Net Income,-318.0,-231.0,-1926.0,491.0,46.0,-1103.0,-821.0,-2.0
Net Income(Contr.),-321.0,-85.0,-1325.0,464.0,61.0,-722.0,-631.0,-38.0
Net Income(Minor.),4.0,-146.0,-601.0,nan,-15.0,-381.0,-190.0,nan
Total Assets,30252.0,34497.0,31930.0,32609.0,33625.0,32096.0,31930.0,nan
Total Liabilities,10328.0,14599.0,14277.0,14536.0,14115.0,13782.0,14277.0,nan
Total Equity,19924.0,19898.0,17654.0,18073.0,19509.0,18313.0,17654.0,nan
Net Income(Contr.),16930.0,16314.0,14515.0,15085.0,16059.0,15207.0,14515.0,nan
Net Income(Minor.),2994.0,3584.0,3139.0,2988.0,3450.0,3106.0,3139.0,nan
Capital Stock,188.0,188.0,188.0,189.0,188.0,188.0,188.0,nan
Total Debt/Equity,51.83,73.37,80.87,80.43,72.35,75.26,80.87,nan
Reserve Ratio,9356.99,8886.1,7885.38,nan,8596.6,8196.12,7885.38,nan
Oper.Income Margin,1.85,2.45,-1.33,4.45,4.75,-18.64,3.88,nan
Net Income Margin,-1.52,-0.38,-5.4,1.79,1.02,-11.86,-9.8,-0.04
ROA,-1.05,-0.71,-5.8,1.52,0.55,-13.42,-10.26,nan
ROE,-1.82,-0.51,-8.6,3.14,1.52,-18.46,-16.99,nan
EPS(KRW),-869.0,-243.0,-3904.0,1374.0,181.0,-2137.0,-1870.0,-111.0
BPS(KRW),49255.0,48250.0,44363.0,46051.0,48314.0,46090.0,44363.0,nan
DPS(KRW),nan,500.0,500.0,500.0,nan,nan,500.0,nan
PER,nan,nan,nan,14.12,nan,nan,nan,nan
PBR,0.51,0.48,0.4,0.42,0.43,0.37,0.4,nan
Issued Shares,36017.0,34937.0,33766.0,nan,33766.0,33766.0,33766.0,nan
Div Yield,nan,2.14,2.83,nan,nan,nan,2.83,nan
