계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,14883.0,16694.0,15864.0,nan,3968.0,4128.0,4154.0,nan
Operating Income,1099.0,2466.0,995.0,nan,358.0,260.0,68.0,nan
Oper.Income(Rep.),1099.0,2466.0,995.0,nan,358.0,260.0,68.0,nan
Net Income,800.0,2136.0,1114.0,nan,550.0,217.0,81.0,nan
Net Income(Contr.),810.0,2125.0,1091.0,nan,534.0,218.0,83.0,nan
Net Income(Minor.),-10.0,11.0,24.0,nan,17.0,-2.0,-2.0,nan
Total Assets,11249.0,14024.0,14588.0,nan,14680.0,14615.0,14588.0,nan
Total Liabilities,5036.0,5868.0,5624.0,nan,5930.0,5659.0,5624.0,nan
Total Equity,6213.0,8156.0,8964.0,nan,8750.0,8956.0,8964.0,nan
Net Income(Contr.),6224.0,8157.0,8940.0,nan,8724.0,8930.0,8940.0,nan
Net Income(Minor.),-11.0,-1.0,24.0,nan,27.0,26.0,24.0,nan
Capital Stock,300.0,314.0,329.0,nan,329.0,329.0,329.0,nan
Total Debt/Equity,81.06,71.94,62.74,nan,67.77,63.19,62.74,nan
Reserve Ratio,2092.38,2649.22,2809.03,nan,2724.87,2791.51,2809.03,nan
Oper.Income Margin,7.38,14.77,6.27,nan,9.03,6.3,1.63,nan
Net Income Margin,5.44,12.73,6.88,nan,13.45,5.29,2.0,nan
ROA,7.37,16.9,7.79,nan,15.27,5.92,2.21,nan
ROE,13.62,29.56,12.76,nan,25.14,9.9,3.71,nan
EPS(KRW),5865.0,15397.0,7902.0,nan,3866.0,1583.0,600.0,nan
BPS(KRW),47603.0,62584.0,69415.0,nan,67407.0,68997.0,69415.0,nan
DPS(KRW),870.0,1000.0,1048.0,nan,nan,nan,1048.0,nan
PER,12.76,8.12,11.26,nan,nan,nan,nan,nan
PBR,1.57,2.0,1.28,nan,1.39,1.56,1.28,nan
Issued Shares,13803.0,13803.0,13803.0,nan,13803.0,13803.0,13803.0,nan
Div Yield,1.16,0.8,1.18,nan,nan,nan,1.18,nan
