계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,1293.0,1531.0,1593.0,1818.0,381.0,394.0,447.0,460.0
Operating Income,128.0,126.0,133.0,168.0,36.0,41.0,15.0,37.0
Oper.Income(Rep.),128.0,126.0,133.0,nan,36.0,41.0,15.0,37.0
Net Income,120.0,109.0,90.0,145.0,40.0,40.0,-21.0,32.0
Net Income(Contr.),140.0,113.0,97.0,145.0,41.0,42.0,-19.0,31.0
Net Income(Minor.),-20.0,-4.0,-7.0,nan,-1.0,-2.0,-2.0,nan
Total Assets,3366.0,3767.0,4516.0,5001.0,4322.0,4403.0,4516.0,nan
Total Liabilities,1932.0,2315.0,3002.0,3466.0,2825.0,2865.0,3002.0,nan
Total Equity,1434.0,1451.0,1514.0,1536.0,1497.0,1538.0,1514.0,nan
Net Income(Contr.),1353.0,1374.0,1439.0,1464.0,1424.0,1466.0,1439.0,nan
Net Income(Minor.),81.0,77.0,74.0,72.0,74.0,72.0,74.0,nan
Capital Stock,47.0,47.0,47.0,48.0,47.0,47.0,47.0,nan
Total Debt/Equity,134.79,159.51,198.34,225.68,188.65,186.35,198.34,nan
Reserve Ratio,3247.95,3384.64,3517.04,nan,3483.87,3573.47,3517.04,nan
Oper.Income Margin,9.94,8.21,8.34,9.24,9.38,10.5,3.45,nan
Net Income Margin,10.83,7.37,6.09,7.98,10.81,10.53,-4.31,7.03
ROA,3.86,3.05,2.17,3.05,3.91,3.62,-1.9,nan
ROE,10.39,8.28,6.9,9.99,11.73,11.5,-5.31,nan
EPS(KRW),1481.0,1194.0,1027.0,1534.0,435.0,439.0,-204.0,332.0
BPS(KRW),16740.0,17423.0,18085.0,18343.0,17919.0,18367.0,18085.0,nan
DPS(KRW),500.0,350.0,350.0,383.0,nan,nan,350.0,nan
PER,13.03,22.36,14.3,8.74,nan,nan,nan,nan
PBR,1.15,1.53,0.81,0.73,1.24,0.93,0.81,nan
Issued Shares,9453.0,9453.0,9453.0,nan,9453.0,9453.0,9453.0,nan
Div Yield,2.59,1.31,2.38,nan,nan,nan,2.38,nan
