계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,49220.0,35685.0,39476.0,41714.0,10027.0,10162.0,9478.0,9718.0
Operating Income,783.0,912.0,-52.0,630.0,276.0,-170.0,-279.0,-25.0
Oper.Income(Rep.),783.0,912.0,-52.0,nan,276.0,-170.0,-279.0,-25.0
Net Income,-502.0,860.0,-615.0,313.0,274.0,-233.0,-640.0,-62.0
Net Income(Contr.),-502.0,860.0,-615.0,303.0,274.0,-233.0,-640.0,-62.0
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Total Assets,29385.0,30065.0,38139.0,37829.0,31452.0,29982.0,38139.0,nan
Total Liabilities,23988.0,23980.0,25295.0,25366.0,25069.0,23805.0,25295.0,nan
Total Equity,5398.0,6085.0,12843.0,12463.0,6383.0,6177.0,12843.0,nan
Net Income(Contr.),5398.0,6085.0,12843.0,12404.0,6383.0,6177.0,12843.0,nan
Net Income(Minor.),0.0,0.0,0.0,59.0,0.0,0.0,0.0,nan
Capital Stock,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,nan
Total Debt/Equity,444.39,394.1,196.95,203.53,392.73,385.36,196.95,nan
Reserve Ratio,222.11,256.47,594.39,nan,271.39,261.08,594.39,nan
Oper.Income Margin,1.59,2.56,-0.13,1.51,2.76,-1.67,-2.95,nan
Net Income Margin,-1.02,2.41,-1.56,0.73,2.74,-2.3,-6.75,-0.64
ROA,-1.79,2.89,-1.8,0.82,3.46,-3.04,-7.51,nan
ROE,-8.99,14.98,-6.5,2.4,17.62,-14.86,-26.91,nan
EPS(KRW),-1254.0,2149.0,-1538.0,757.0,686.0,-583.0,-1600.0,-155.0
BPS(KRW),16106.0,17823.0,34720.0,33621.0,18569.0,18054.0,34720.0,nan
DPS(KRW),200.0,200.0,nan,213.0,nan,nan,nan,nan
PER,nan,30.43,nan,61.3,nan,nan,nan,nan
PBR,5.16,3.67,1.06,1.38,2.89,2.65,1.06,nan
Issued Shares,39248.0,39248.0,39248.0,nan,39248.0,39248.0,39248.0,nan
Div Yield,0.24,0.31,nan,nan,nan,nan,nan,nan
