계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,61270.0,65804.0,69957.0,73210.0,17289.0,18070.0,18464.0,18569.0
Operating Income,668.0,993.0,1335.0,1447.0,365.0,372.0,318.0,369.0
Oper.Income(Rep.),668.0,993.0,1335.0,nan,365.0,372.0,318.0,369.0
Net Income,787.0,834.0,1210.0,1099.0,308.0,397.0,158.0,238.0
Net Income(Contr.),787.0,837.0,1211.0,1096.0,309.0,397.0,157.0,239.0
Net Income(Minor.),-0.0,-3.0,-1.0,nan,-2.0,0.0,1.0,nan
Total Assets,18313.0,20597.0,20623.0,21654.0,24429.0,19998.0,20623.0,nan
Total Liabilities,13947.0,14791.0,14070.0,13999.0,17691.0,13046.0,14070.0,nan
Total Equity,4366.0,5806.0,6553.0,7656.0,6738.0,6952.0,6553.0,nan
Net Income(Contr.),4330.0,5774.0,6520.0,7679.0,6706.0,6921.0,6520.0,nan
Net Income(Minor.),36.0,33.0,34.0,-23.0,32.0,31.0,34.0,nan
Capital Stock,661.0,661.0,661.0,661.0,661.0,661.0,661.0,nan
Total Debt/Equity,319.45,254.73,214.7,182.85,262.55,187.65,214.7,nan
Reserve Ratio,586.51,804.73,917.52,nan,945.73,978.14,917.52,nan
Oper.Income Margin,1.09,1.51,1.91,1.98,2.11,2.06,1.72,nan
Net Income Margin,1.28,1.27,1.73,1.5,1.79,2.2,0.85,1.28
ROA,4.45,4.29,5.87,5.2,5.15,7.16,3.11,nan
ROE,19.83,16.57,19.7,15.44,19.21,23.3,9.36,nan
EPS(KRW),5950.0,6326.0,9152.0,8287.0,2336.0,3001.0,1189.0,1804.0
BPS(KRW),34326.0,45236.0,50876.0,59639.0,52287.0,53907.0,50876.0,nan
DPS(KRW),600.0,600.0,700.0,725.0,nan,nan,700.0,nan
PER,2.72,2.98,2.09,2.76,nan,nan,nan,nan
PBR,0.47,0.42,0.38,0.38,0.43,0.35,0.38,nan
Issued Shares,13229.0,13229.0,13229.0,nan,13229.0,13229.0,13229.0,nan
Div Yield,3.7,3.18,3.66,nan,nan,nan,3.66,nan
