계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Premium Revenue,60320.0,52833.0,52583.0,nan,13412.0,13049.0,13655.0,nan
Operating Income,3524.0,3637.0,4054.0,nan,1274.0,1172.0,849.0,nan
Oper.Income(Rep.),3524.0,3637.0,4054.0,nan,1274.0,1172.0,849.0,nan
Net Income,2785.0,2839.0,3167.0,nan,971.0,1028.0,587.0,nan
Net Income(Contr.),2785.0,2839.0,3167.0,nan,971.0,1028.0,587.0,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,110172.0,120663.0,131604.0,nan,123135.0,128135.0,131604.0,nan
Total Liabilities,83016.0,88134.0,97075.0,nan,90432.0,94363.0,97075.0,nan
Total Equity,27156.0,32529.0,34529.0,nan,32703.0,33773.0,34529.0,nan
Net Income(Contr.),27156.0,32529.0,34529.0,nan,32703.0,33773.0,34529.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,704.0,827.0,974.0,nan,827.0,827.0,974.0,nan
Total Debt/Equity,305.7,270.94,281.14,nan,276.52,279.4,281.14,nan
Reserve Ratio,3947.2,3996.28,3582.29,nan,4017.36,4146.71,3582.29,nan
Oper.Income Margin,4.58,5.22,5.83,nan,6.99,7.47,4.31,nan
Net Income Margin,3.62,4.08,4.55,nan,5.33,6.56,2.98,nan
ROA,2.31,2.46,2.51,nan,3.21,3.27,1.81,nan
ROE,10.63,9.51,9.44,nan,12.07,12.38,6.88,nan
EPS(KRW),1429.0,1457.0,1625.0,nan,499.0,528.0,301.0,nan
BPS(KRW),14627.0,17385.0,18411.0,nan,17474.0,18023.0,18411.0,nan
DPS(KRW),312.0,458.0,515.0,nan,nan,nan,515.0,nan
PER,3.45,4.16,4.89,nan,nan,nan,nan,nan
PBR,0.34,0.35,0.43,nan,0.39,0.39,0.43,nan
Issued Shares,194821.0,194821.0,194821.0,nan,194821.0,194821.0,194821.0,nan
Div Yield,6.32,7.54,6.48,nan,nan,nan,6.48,nan
