계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,424460.0,357267.0,366370.0,346487.0,95708.0,88406.0,89171.0,89905.0
Operating Income,34052.0,13546.0,4222.0,3802.0,1606.0,-4149.0,2224.0,-215.0
Oper.Income(Rep.),34052.0,13546.0,4222.0,nan,1606.0,-4149.0,2224.0,-215.0
Net Income,21044.0,9488.0,-1930.0,774.0,-213.0,-2062.0,-1317.0,-446.0
Net Income(Contr.),21044.0,9488.0,-1930.0,773.0,-213.0,-2062.0,-1317.0,-446.0
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,196131.0,215761.0,244514.0,258032.0,219359.0,225234.0,244514.0,nan
Total Liabilities,111297.0,125386.0,157558.0,170714.0,129274.0,137357.0,157558.0,nan
Total Equity,84835.0,90376.0,86956.0,87319.0,90085.0,87877.0,86956.0,nan
Net Income(Contr.),84835.0,90376.0,86956.0,87375.0,90085.0,87877.0,86956.0,nan
Net Income(Minor.),0.0,0.0,0.0,-56.0,0.0,0.0,0.0,nan
Capital Stock,2915.0,2915.0,2915.0,2919.0,2915.0,2915.0,2915.0,nan
Total Debt/Equity,131.19,138.74,181.19,195.51,143.5,156.3,181.19,nan
Reserve Ratio,2810.8,3000.88,2883.59,nan,2990.9,2915.18,2883.59,nan
Oper.Income Margin,8.02,3.79,1.15,1.1,1.68,-4.69,2.49,nan
Net Income Margin,4.96,2.66,-0.53,0.22,-0.22,-2.33,-1.48,-0.5
ROA,10.99,4.61,-0.84,0.31,-0.39,-3.71,-2.24,nan
ROE,27.2,10.83,-2.18,0.89,-0.95,-9.27,-6.03,nan
EPS(KRW),18047.0,8137.0,-1656.0,663.0,-183.0,-1768.0,-1130.0,-382.0
BPS(KRW),72770.0,77522.0,74590.0,74948.0,77273.0,75380.0,74590.0,nan
DPS(KRW),5500.0,1700.0,125.0,609.0,125.0,nan,0.0,nan
PER,4.62,8.55,nan,77.22,nan,nan,nan,nan
PBR,1.15,0.9,0.73,0.68,0.86,0.81,0.73,nan
Issued Shares,112583.0,112583.0,112583.0,nan,112583.0,112583.0,112583.0,nan
Div Yield,6.59,2.44,0.23,nan,0.19,nan,0.0,nan
