계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,1077,2145.0,3340.0,nan,nan,nan,nan,nan
Operating Income,122,466.0,1092.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),122,466.0,1092.0,nan,nan,nan,0.0,nan
Net Income,41,391.0,837.0,nan,nan,nan,nan,nan
Net Income(Contr.),41,391.0,837.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,1320,1913.0,4927.0,nan,nan,nan,4927.0,nan
Total Liabilities,882,654.0,584.0,nan,nan,nan,584.0,nan
Total Equity,438,1259.0,4342.0,nan,nan,nan,4342.0,nan
Net Income(Contr.),438,1259.0,4342.0,nan,nan,nan,4342.0,nan
Net Income(Minor.),0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,21,24.0,152.0,nan,nan,nan,152.0,nan
Total Debt/Equity,201.59,51.94,13.46,nan,nan,nan,13.46,nan
Reserve Ratio,1951.64,5158.09,2752.61,nan,nan,nan,2752.61,nan
Oper.Income Margin,11.31,21.72,32.7,nan,nan,nan,nan,nan
Net Income Margin,3.82,18.2,25.05,nan,nan,nan,nan,nan
ROA,N/A(IFRS),24.16,24.47,nan,nan,nan,nan,nan
ROE,N/A(IFRS),46.03,29.88,nan,nan,nan,nan,nan
EPS(KRW),963,8810.0,3222.0,nan,nan,nan,0.0,nan
BPS(KRW),10258,26290.0,14263.0,nan,nan,nan,14263.0,nan
DPS(KRW),100,947.0,420.0,nan,nan,nan,420.0,nan
PER,nan,nan,21.29,nan,nan,nan,nan,nan
PBR,nan,nan,4.81,nan,nan,nan,4.81,nan
Issued Shares,4266,4789.0,30445.0,nan,nan,nan,30445.0,nan
Div Yield,nan,nan,0.61,nan,nan,nan,0.61,nan
