계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,1743.0,1864.0,1827.0,nan,436.0,409.0,533.0,444.0
Operating Income,145.0,166.0,152.0,nan,61.0,31.0,39.0,14.0
Oper.Income(Rep.),145.0,166.0,152.0,nan,61.0,31.0,39.0,14.0
Net Income,99.0,127.0,102.0,nan,48.0,16.0,26.0,9.0
Net Income(Contr.),104.0,134.0,112.0,nan,49.0,17.0,30.0,12.0
Net Income(Minor.),-5.0,-7.0,-10.0,nan,-2.0,-2.0,-3.0,nan
Total Assets,2084.0,2218.0,2238.0,nan,2242.0,2313.0,2238.0,nan
Total Liabilities,459.0,513.0,562.0,nan,460.0,562.0,562.0,nan
Total Equity,1624.0,1705.0,1676.0,nan,1782.0,1751.0,1676.0,nan
Net Income(Contr.),1614.0,1694.0,1668.0,nan,1770.0,1741.0,1668.0,nan
Net Income(Minor.),10.0,11.0,7.0,nan,12.0,10.0,7.0,nan
Capital Stock,164.0,164.0,164.0,nan,164.0,164.0,164.0,nan
Total Debt/Equity,28.28,30.12,33.55,nan,25.84,32.1,33.55,nan
Reserve Ratio,881.76,968.81,1044.27,nan,1014.83,1024.85,1044.27,nan
Oper.Income Margin,8.34,8.89,8.32,nan,14.1,7.62,7.34,nan
Net Income Margin,5.96,7.17,6.1,nan,11.32,4.24,5.54,1.94
ROA,4.88,5.9,4.57,nan,8.55,2.73,4.63,nan
ROE,6.69,8.08,6.64,nan,11.34,3.95,6.92,nan
EPS(KRW),316.0,407.0,339.0,nan,150.0,53.0,90.0,36.0
BPS(KRW),4909.0,5344.0,5721.0,nan,5574.0,5624.0,5721.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,10.8,9.63,15.09,nan,nan,nan,nan,nan
PBR,0.69,0.73,0.89,nan,0.83,0.77,0.89,nan
Issued Shares,32888.0,32888.0,32888.0,nan,32888.0,32888.0,32888.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
