Time for screening with MACD: 6.86 (s)
Number of screened stocks: 674
     Sector      Code  Name            ChagesRatio        Marcap  MACD
---  --------  ------  ------------  -------------  ------------  --------------------------
493  AI        163280  에어레인              -1.43  169218132300  1. 상승 추세 / 추세 확대중
214  AI        029480  광무                  -1.1   152012389500  2. 상승 추세 / 눌림목
659  AI        456010  아이씨티케이           0.58  254053396680  2. 상승 추세 / 눌림목
520  AI        210120  캔버스엔               1.36  114257721225  2. 상승 추세 / 눌림목
280  AI        039980  폴라리스AI             3.07  207183782400  2. 상승 추세 / 눌림목
636  AI        389140  포바이포               8.22  218031860700  2. 상승 추세 / 눌림목
597  AI        304100  솔트룩스              11.88  422750294800  1. 상승 추세 / 추세 확대중
     Sector          Code  Name                ChagesRatio          Marcap  MACD
---  ------------  ------  ----------------  -------------  --------------  --------------------------
612  IT소프트웨어  347890  엠투아이                  -8.91    100295299720  2. 상승 추세 / 눌림목
281  IT소프트웨어  040350  크레오에스지              -3.66    116889220415  2. 상승 추세 / 눌림목
599  IT소프트웨어  307950  현대오토에버              -3.07   3811933498000  2. 상승 추세 / 눌림목
461  IT소프트웨어  124500  아이티센글로벌            -2.99    255945932810  2. 상승 추세 / 눌림목
251  IT소프트웨어  035510  신세계 I&C                -2.38    183429408000  2. 상승 추세 / 눌림목
250  IT소프트웨어  035150  백산                      -2.29    307912500000  2. 상승 추세 / 눌림목
199  IT소프트웨어  023590  다우기술                  -1.68   1184478688800  2. 상승 추세 / 눌림목
225  IT소프트웨어  032190  다우데이타                -1.35    643057000000  1. 상승 추세 / 추세 확대중
252  IT소프트웨어  035600  KG이니시스                -1.32    247438817320  1. 상승 추세 / 추세 확대중
300  IT소프트웨어  046440  KG모빌리언스              -0.91    165917150730  1. 상승 추세 / 추세 확대중
267  IT소프트웨어  036800  나이스정보통신            -0.74    202000000000  2. 상승 추세 / 눌림목
405  IT소프트웨어  092130  이크레더블                -0.13    188602776000  1. 상승 추세 / 추세 확대중
363  IT소프트웨어  078000  텔코웨어                   0       119474195610  2. 상승 추세 / 눌림목
644  IT소프트웨어  417790  트루엔                     0       102406741500  1. 상승 추세 / 추세 확대중
449  IT소프트웨어  115310  인포바인                   0       119413824200  2. 상승 추세 / 눌림목
278  IT소프트웨어  039570  HDC랩스                    0.11    238550353190  1. 상승 추세 / 추세 확대중
368  IT소프트웨어  079940  가비아                     0.23    300492184800  1. 상승 추세 / 추세 확대중
162  IT소프트웨어  012750  에스원                     0.45   2526945337000  2. 상승 추세 / 눌림목
577  IT소프트웨어  286940  롯데이노베이트             0.58    288214441350  1. 상승 추세 / 추세 확대중
626  IT소프트웨어  377300  카카오페이                 0.79   5138557139450  2. 상승 추세 / 눌림목
567  IT소프트웨어  267850  아시아나IDT                0.87    128538000000  2. 상승 추세 / 눌림목
254  IT소프트웨어  035720  카카오                     1.05  19059842379250  2. 상승 추세 / 눌림목
487  IT소프트웨어  158430  아톤                       1.22    143585347290  2. 상승 추세 / 눌림목
668  IT소프트웨어  484870  엠앤씨솔루션               1.55   1198245510000  2. 상승 추세 / 눌림목
305  IT소프트웨어  051160  지어소프트                 1.66    151185181100  2. 상승 추세 / 눌림목
527  IT소프트웨어  214180  헥토이노베이션             1.7     172982399340  1. 상승 추세 / 추세 확대중
337  IT소프트웨어  064800  포니링크                   1.72    158481049520  1. 상승 추세 / 추세 확대중
258  IT소프트웨어  036030  케이티알파                 2.2     216175038030  1. 상승 추세 / 추세 확대중
