Time for screening with MACD: 6.78 (s)
Number of screened stocks: 560
     Sector      Code  Name            ChagesRatio        Marcap  MACD
---  --------  ------  ------------  -------------  ------------  --------------------------
543  AI        456010  아이씨티케이          -6.12  254053396680  1. 상승 추세 / 추세 확대중
238  AI        039980  폴라리스AI            -3.85  207183782400  2. 상승 추세 / 눌림목
550  AI        473980  노머스                -3.14  346388401450  2. 상승 추세 / 눌림목
185  AI        029480  광무                  -1.65  152012389500  2. 상승 추세 / 눌림목
214  AI        035080  그래디언트            -0.07  202003352460  2. 상승 추세 / 눌림목
518  AI        377480  마음AI                 0.45  155106374250  2. 상승 추세 / 눌림목
     Sector          Code  Name                ChagesRatio          Marcap  MACD
---  ------------  ------  ----------------  -------------  --------------  --------------------------
506  IT소프트웨어  356680  엑스게이트                -5.02    231202285200  2. 상승 추세 / 눌림목
529  IT소프트웨어  411080  샌즈랩                    -3.98    125499984360  2. 상승 추세 / 눌림목
161  IT소프트웨어  018260  삼성에스디에스            -2.75  10268034060000  2. 상승 추세 / 눌림목
447  IT소프트웨어  236200  슈프리마                  -2.65    265979055450  2. 상승 추세 / 눌림목
189  IT소프트웨어  030520  한글과컴퓨터              -2.15    596030689600  2. 상승 추세 / 눌림목
240  IT소프트웨어  041020  폴라리스오피스            -1.97    280451808720  2. 상승 추세 / 눌림목
279  IT소프트웨어  058860  KTis                      -1.69    100925800000  2. 상승 추세 / 눌림목
390  IT소프트웨어  124500  아이티센글로벌            -1.65    255945932810  1. 상승 추세 / 추세 확대중
267  IT소프트웨어  053300  한국정보인증              -1.59    252950511560  2. 상승 추세 / 눌림목
494  IT소프트웨어  322180  LS티라유텍                -1.29    109421976320  2. 상승 추세 / 눌림목
139  IT소프트웨어  012750  에스원                    -0.75   2526945337000  2. 상승 추세 / 눌림목
227  IT소프트웨어  036800  나이스정보통신            -0.65    202000000000  2. 상승 추세 / 눌림목
239  IT소프트웨어  040350  크레오에스지              -0.55    116889220415  2. 상승 추세 / 눌림목
316  IT소프트웨어  079940  가비아                    -0.48    300492184800  2. 상승 추세 / 눌림목
215  IT소프트웨어  035150  백산                      -0.41    307912500000  2. 상승 추세 / 눌림목
345  IT소프트웨어  094480  갤럭시아머니트리          -0.12    338945800320  2. 상승 추세 / 눌림목
427  IT소프트웨어  204610  티쓰리                    -0.11    119454710560  1. 상승 추세 / 추세 확대중
412  IT소프트웨어  163730  핑거                      -0.09    111169766960  2. 상승 추세 / 눌림목
310  IT소프트웨어  078000  텔코웨어                  -0.08    119474195610  1. 상승 추세 / 추세 확대중
337  IT소프트웨어  090850  현대이지웰                 0       149839537910  2. 상승 추세 / 눌림목
435  IT소프트웨어  214180  헥토이노베이션             0.08    172982399340  2. 상승 추세 / 눌림목
344  IT소프트웨어  093640  케이알엠                   0.53    129448694280  2. 상승 추세 / 눌림목
235  IT소프트웨어  039570  HDC랩스                    0.68    238550353190  2. 상승 추세 / 눌림목
170  IT소프트웨어  023590  다우기술                   0.84   1184478688800  2. 상승 추세 / 눌림목
339  IT소프트웨어  092460  한라IMS                    0.93    157751249600  2. 상승 추세 / 눌림목
459  IT소프트웨어  263860  지니언스                   1.02    159982552000  2. 상승 추세 / 눌림목
549  IT소프트웨어  472850  폰드그룹                   1.13    295623547620  2. 상승 추세 / 눌림목
194  IT소프트웨어  032190  다우데이타                 1.16    643057000000  1. 상승 추세 / 추세 확대중
291  IT소프트웨어  064800  포니링크                   1.33    158481049520  1. 상승 추세 / 추세 확대중
268  IT소프트웨어  053350  이니텍                     1.42    167431149360  2. 상승 추세 / 눌림목
517  IT소프트웨어  377030  비트맥스                   1.42    158046537390  1. 상승 추세 / 추세 확대중
502  IT소프트웨어  347890  엠투아이                   1.65    100295299720  1. 상승 추세 / 추세 확대중
134  IT소프트웨어  011690  와이투솔루션               3.76    120512628230  2. 상승 추세 / 눌림목
288  IT소프트웨어  064260  다날                       4.59    231324029200  1. 상승 추세 / 추세 확대중
489  IT소프트웨어  307950  현대오토에버               4.66   3811933498000  1. 상승 추세 / 추세 확대중
383  IT소프트웨어  115310  인포바인                   7.36    119413824200  1. 상승 추세 / 추세 확대중
     Sector               Code  Name              ChagesRatio           Marcap  MACD
---  -----------------  ------  --------------  -------------  ---------------  --------------------------
541  IT하드웨어/반도체  452430  사피엔반도체            -6.84     177404493600  2. 상승 추세 / 눌림목
355  IT하드웨어/반도체  098120  마이크로컨텍솔          -4.94     125689021920  2. 상승 추세 / 눌림목
540  IT하드웨어/반도체  450950  아스테라시스            -3.37     454151014380  2. 상승 추세 / 눌림목
264  IT하드웨어/반도체  052330  코텍                    -3.05     159321957360  2. 상승 추세 / 눌림목
528  IT하드웨어/반도체  405100  큐알티                  -2.75     156074122700  2. 상승 추세 / 눌림목
547  IT하드웨어/반도체  464080  에스오에스랩            -2.57     244009254000  2. 상승 추세 / 눌림목
438  IT하드웨어/반도체  214430  아이쓰리시스템          -1.92     589861080000  2. 상승 추세 / 눌림목
 12  IT하드웨어/반도체  000660  SK하이닉스              -1.8   151060490737500  2. 상승 추세 / 눌림목
343  IT하드웨어/반도체  093520  매커스                  -1.66     213352814400  2. 상승 추세 / 눌림목
372  IT하드웨어/반도체  108320  LX세미콘                -1.65     980737290000  2. 상승 추세 / 눌림목
391  IT하드웨어/반도체  125210  아모그린텍              -1.6      106734231300  2. 상승 추세 / 눌림목
107  IT하드웨어/반도체  007660  이수페타시스            -1.38    2796891243900  2. 상승 추세 / 눌림목
405  IT하드웨어/반도체  142210  유니트론텍              -0.67     109510263480  2. 상승 추세 / 눌림목
270  IT하드웨어/반도체  054210  이랜텍                   0        129490995200  1. 상승 추세 / 추세 확대중
128  IT하드웨어/반도체  010580  에스엠벡셀               0        137395923600  2. 상승 추세 / 눌림목
277  IT하드웨어/반도체  058470  리노공업                 0.13    3094201110000  2. 상승 추세 / 눌림목
308  IT하드웨어/반도체  077500  유니퀘스트               0.81     137592649740  2. 상승 추세 / 눌림목
201  IT하드웨어/반도체  033640  네패스                   0.93     178939407520  2. 상승 추세 / 눌림목
342  IT하드웨어/반도체  093190  빅솔론                   1.31     111778038050  1. 상승 추세 / 추세 확대중
537  IT하드웨어/반도체  441270  파인엠텍                 1.69     192706964210  1. 상승 추세 / 추세 확대중
     Sector      Code  Name          ChagesRatio         Marcap  MACD
---  --------  ------  ----------  -------------  -------------  ---------------------
252  가전제품  044340  위닉스              -3.07   113853717250  2. 상승 추세 / 눌림목
461  가전제품  264850  이랜시스            -2.88   145262664540  2. 상승 추세 / 눌림목
419  가전제품  192400  쿠쿠홀딩스          -2.03  1065087440750  2. 상승 추세 / 눌림목
113  가전제품  008700  아남전자            -0.62   111753864180  2. 상승 추세 / 눌림목
473  가전제품  284740  쿠쿠홈시스          -0.37   590101779000  2. 상승 추세 / 눌림목
 42  가전제품  002700  신일전자             0.13   106429186458  2. 상승 추세 / 눌림목
229  가전제품  037070  파세코               0.42   141200000000  2. 상승 추세 / 눌림목
     Sector                           Code  Name              ChagesRatio        Marcap  MACD
---  -----------------------------  ------  --------------  -------------  ------------  --------------------------
442  건강기능식품 (유사: 헬스케어)  222040  코스맥스엔비티          -0.43  118404720000  1. 상승 추세 / 추세 확대중
     Sector      Code  Name              ChagesRatio          Marcap  MACD
---  --------  ------  --------------  -------------  --------------  --------------------------
514  건설      375500  DL이앤씨                -3.39   1876640715500  2. 상승 추세 / 눌림목
510  건설      365330  에스와이스틸텍          -2.82    180599000000  2. 상승 추세 / 눌림목
217  건설      035890  서희건설                -2.39    408829245003  2. 상승 추세 / 눌림목
497  건설      333430  일승                    -1.96    144415710900  1. 상승 추세 / 추세 확대중
 98  건설      006360  GS건설                  -1.7    1929862599500  2. 상승 추세 / 눌림목
258  건설      047040  대우건설                -1.45   1731068287270  2. 상승 추세 / 눌림목
 90  건설      005960  동부건설                -1       116569048040  2. 상승 추세 / 눌림목
180  건설      028050  삼성E&A                 -0.97   4204200000000  2. 상승 추세 / 눌림목
 15  건설      000720  현대건설                -0.82   7316073760500  1. 상승 추세 / 추세 확대중
181  건설      028100  동아지질                -0.65    210884656500  1. 상승 추세 / 추세 확대중
182  건설      028260  삼성물산                -0.36  25717451107200  1. 상승 추세 / 추세 확대중
140  건설      013120  동원개발                 0.21    231560655000  1. 상승 추세 / 추세 확대중
137  건설      012630  HDC                      1.26   1164963559500  2. 상승 추세 / 눌림목
  4  건설      000210  DL                       1.41    930441249600  2. 상승 추세 / 눌림목
167  건설      021320  KCC건설                  2       108070000000  1. 상승 추세 / 추세 확대중
432  건설      210980  SK디앤디                 3.56    175189564620  2. 상승 추세 / 눌림목
     Sector      Code  Name            ChagesRatio         Marcap  MACD
---  --------  ------  ------------  -------------  -------------  --------------------------
443  건자재    225190  LK삼양                -3.63   153767773200  2. 상승 추세 / 눌림목
 40  건자재    002380  KCC                    0     2683714242000  1. 상승 추세 / 추세 확대중
 34  건자재    002030  아세아                 0.56   592937830000  1. 상승 추세 / 추세 확대중
210  건자재    034810  해성산업               3.32   236688350390  1. 상승 추세 / 추세 확대중
 51  건자재    003120  일성아이에스           4.72   263606000000  1. 상승 추세 / 추세 확대중
     Sector      Code  Name            ChagesRatio          Marcap  MACD
---  --------  ------  ------------  -------------  --------------  --------------------------
477  게임      293490  카카오게임즈          -2.32   1382212169160  1. 상승 추세 / 추세 확대중
458  게임      259960  크래프톤              -1.55  17633897232000  2. 상승 추세 / 눌림목
453  게임      251270  넷마블                 0      4736037960200  2. 상승 추세 / 눌림목
