계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,446216.0,327657.0,661930.0,847403.0,164233.0,175731.0,197670.0,172803.0
Operating Income,68094.0,-77303.0,234673.0,344223.0,54685.0,70300.0,80828.0,65929.0
Oper.Income(Rep.),68094.0,-77303.0,234673.0,nan,54685.0,70300.0,80828.0,nan
Net Income,22417.0,-91375.0,197969.0,270506.0,41200.0,57534.0,80065.0,53441.0
Net Income(Contr.),22296.0,-91124.0,197887.0,269632.0,41203.0,57487.0,80005.0,52855.0
Net Income(Minor.),121.0,-251.0,82.0,nan,-3.0,47.0,60.0,nan
Total Assets,1038715.0,1003302.0,1198552.0,1436995.0,1056243.0,1083671.0,1198552.0,nan
Total Liabilities,405810.0,468264.0,459395.0,445688.0,457943.0,430655.0,459395.0,nan
Total Equity,632905.0,535038.0,739157.0,991306.0,598300.0,653015.0,739157.0,nan
Net Income(Contr.),632664.0,535043.0,739034.0,992732.0,598333.0,653002.0,739034.0,nan
Net Income(Minor.),242.0,-5.0,123.0,-1425.0,-33.0,14.0,123.0,nan
Capital Stock,36577.0,36577.0,36577.0,36579.0,36577.0,36577.0,36577.0,nan
Total Debt/Equity,64.12,87.52,62.15,44.96,76.54,65.95,62.15,nan
Reserve Ratio,1692.59,1424.94,1981.24,nan,1597.23,1746.03,1981.24,nan
Oper.Income Margin,15.26,-23.59,35.45,40.62,33.3,40.0,40.89,38.15
Net Income Margin,5.0,-27.81,29.9,31.82,25.09,32.71,40.47,30.59
ROA,2.24,-8.95,17.98,20.53,15.78,21.51,28.07,17.84
ROE,3.56,-15.61,31.06,31.14,28.58,36.75,45.98,28.61
EPS(KRW),3063.0,-12517.0,27182.0,37037.0,5660.0,7897.0,10990.0,7260.0
BPS(KRW),90064.0,76616.0,104567.0,139415.0,85273.0,92749.0,104567.0,nan
DPS(KRW),1200.0,1200.0,2204.0,1604.0,300.0,300.0,1304.0,nan
PER,24.49,nan,6.4,4.72,nan,nan,nan,nan
PBR,0.83,1.85,1.66,1.26,2.77,1.88,1.66,nan
Issued Shares,728002.0,728002.0,728002.0,nan,728002.0,728002.0,728002.0,nan
Div Yield,1.6,0.85,1.27,nan,0.13,0.17,0.75,nan
