계정,2023/07,2024/01,2024/07,2025/01(P),2024/04,2024/07,2024/10,2025/01(P)
Sales,286.0,652.0,298.0,372.0,147.0,nan,131.0,nan
Operating Income,-214.0,534.0,-268.0,206.0,80.0,nan,67.0,nan
Oper.Income(Rep.),-214.0,534.0,-268.0,206.0,80.0,0.0,67.0,nan
Net Income,-554.0,511.0,-318.0,105.0,33.0,nan,21.0,nan
Net Income(Contr.),-554.0,511.0,-318.0,nan,33.0,nan,21.0,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,9825.0,10344.0,10786.0,nan,11147.0,10786.0,10690.0,nan
Total Liabilities,5467.0,5816.0,6895.0,nan,6826.0,6895.0,7031.0,nan
Total Equity,4358.0,4528.0,3891.0,nan,4321.0,3891.0,3659.0,nan
Net Income(Contr.),4358.0,4528.0,3891.0,nan,4321.0,3891.0,3659.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,507.0,507.0,507.0,nan,507.0,507.0,507.0,nan
Total Debt/Equity,125.47,128.45,177.18,nan,157.97,177.18,192.14,nan
Reserve Ratio,759.37,792.98,667.41,nan,752.17,667.41,621.66,nan
Oper.Income Margin,-74.99,81.8,-90.12,nan,54.51,nan,51.21,nan
Net Income Margin,-193.83,78.26,-106.75,28.2,22.75,nan,15.91,nan
ROA,-5.57,5.06,-3.01,nan,1.25,0.0,0.77,nan
ROE,-11.66,11.49,-7.55,nan,3.03,0.0,2.2,nan
EPS(KRW),-546.0,503.0,-313.0,104.0,33.0,0.0,20.0,nan
BPS(KRW),4297.0,4465.0,3837.0,nan,4261.0,3837.0,3608.0,nan
DPS(KRW),353.0,188.0,376.0,180.0,nan,376.0,nan,180.0
PER,nan,7.7,nan,nan,nan,nan,nan,nan
PBR,0.92,0.87,1.16,nan,1.0,1.16,1.16,nan
Issued Shares,101414.0,101414.0,101414.0,nan,101414.0,101414.0,101414.0,nan
Div Yield,8.91,4.85,8.44,nan,nan,8.44,nan,nan
