계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,48602.0,74083.0,107760.0,123981.0,25361.0,27031.0,32532.0,31431.0
Operating Income,-16136.0,-1965.0,2379.0,7008.0,-97.0,256.0,1690.0,2586.0
Oper.Income(Rep.),-16136.0,-1965.0,2379.0,nan,-97.0,256.0,1690.0,2586.0
Net Income,-17448.0,1600.0,5282.0,5251.0,-274.0,-748.0,5794.0,2157.0
Net Income(Contr.),-17448.0,1599.0,5281.0,5149.0,-275.0,-749.0,5795.0,2157.0
Net Income(Minor.),nan,2.0,1.0,nan,1.0,0.0,-1.0,nan
Total Assets,122357.0,139448.0,178438.0,182607.0,162284.0,163670.0,178438.0,nan
Total Liabilities,114907.0,96326.0,129805.0,130096.0,118907.0,121862.0,129805.0,nan
Total Equity,7450.0,43122.0,48634.0,52511.0,43377.0,41808.0,48634.0,nan
Net Income(Contr.),7450.0,43075.0,48587.0,52467.0,43329.0,41760.0,48587.0,nan
Net Income(Minor.),0.0,47.0,47.0,44.0,47.0,48.0,47.0,nan
Capital Stock,5415.0,15368.0,15371.0,15370.0,15368.0,15371.0,15371.0,nan
Total Debt/Equity,1542.43,223.38,266.9,247.75,274.13,291.48,266.9,nan
Reserve Ratio,37.72,180.34,216.15,nan,181.99,171.73,216.15,nan
Oper.Income Margin,-33.2,-2.65,2.21,5.65,-0.38,0.95,5.2,nan
Net Income Margin,-35.9,2.16,4.9,4.15,-1.09,-2.77,17.81,6.86
ROA,-15.27,1.22,3.32,2.91,-0.7,-1.84,13.55,nan
ROE,-117.79,6.33,11.52,10.19,-2.53,-7.04,51.31,nan
EPS(KRW),-14641.0,795.0,1724.0,1680.0,-90.0,-244.0,1891.0,704.0
BPS(KRW),6257.0,14063.0,15859.0,17125.0,14146.0,13631.0,15859.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,31.58,21.67,53.14,nan,nan,nan,nan
PBR,2.69,1.78,2.36,5.21,2.16,2.24,2.36,nan
Issued Shares,119173.0,306359.0,306413.0,nan,306359.0,306413.0,306413.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
