계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,2421.0,2812.0,2571.0,nan,nan,nan,nan,nan
Operating Income,76.0,81.0,45.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),76.0,81.0,45.0,nan,nan,nan,0.0,nan
Net Income,42.0,28.0,12.0,nan,nan,nan,nan,nan
Net Income(Contr.),42.0,28.0,12.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,2459.0,2462.0,2494.0,nan,nan,nan,2494.0,nan
Total Liabilities,1716.0,1592.0,1639.0,nan,nan,nan,1639.0,nan
Total Equity,743.0,871.0,856.0,nan,nan,nan,856.0,nan
Net Income(Contr.),743.0,871.0,856.0,nan,nan,nan,856.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,45.0,45.0,45.0,nan,nan,nan,45.0,nan
Total Debt/Equity,230.91,182.81,191.53,nan,nan,nan,191.53,nan
Reserve Ratio,1553.43,1837.29,1803.83,nan,nan,nan,1803.83,nan
Oper.Income Margin,3.13,2.88,1.74,nan,nan,nan,nan,nan
Net Income Margin,1.75,0.99,0.45,nan,nan,nan,nan,nan
ROA,1.83,1.13,0.47,nan,nan,nan,nan,nan
ROE,5.89,3.43,1.35,nan,nan,nan,nan,nan
EPS(KRW),470.0,308.0,130.0,nan,nan,nan,0.0,nan
BPS(KRW),8267.0,9686.0,9519.0,nan,nan,nan,9519.0,nan
DPS(KRW),40.0,40.0,40.0,nan,nan,nan,40.0,nan
PER,14.46,36.91,101.16,nan,nan,nan,nan,nan
PBR,0.82,1.17,1.38,nan,nan,nan,1.38,nan
Issued Shares,8988.0,8988.0,8988.0,nan,nan,nan,8988.0,nan
Div Yield,0.59,0.35,0.3,nan,nan,nan,0.3,nan
