계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,22784.0,20294.0,15146.0,11764.0,4096.0,3926.0,2993.0,3080.0
Operating Income,3451.0,3405.0,1697.0,1243.0,563.0,245.0,92.0,460.0
Oper.Income(Rep.),3451.0,3405.0,1697.0,nan,563.0,245.0,92.0,nan
Net Income,2049.0,1603.0,-1602.0,329.0,241.0,-36.0,-2149.0,215.0
Net Income(Contr.),1957.0,1611.0,-1487.0,316.0,227.0,-46.0,-1999.0,330.0
Net Income(Minor.),92.0,-9.0,-115.0,nan,14.0,10.0,-150.0,nan
Total Assets,37378.0,42374.0,35540.0,36426.0,40118.0,38527.0,35540.0,nan
Total Liabilities,21317.0,24652.0,19968.0,21061.0,22244.0,20748.0,19968.0,nan
Total Equity,16061.0,17722.0,15572.0,15365.0,17874.0,17779.0,15572.0,nan
Net Income(Contr.),13970.0,15585.0,13589.0,13427.0,15727.0,15620.0,13589.0,nan
Net Income(Minor.),2091.0,2137.0,1983.0,1938.0,2148.0,2159.0,1983.0,nan
Capital Stock,154.0,154.0,154.0,151.0,154.0,154.0,154.0,nan
Total Debt/Equity,132.72,139.1,128.23,137.07,124.45,116.7,128.23,nan
Reserve Ratio,9070.67,10116.41,8755.33,nan,10081.5,10012.66,8755.33,nan
Oper.Income Margin,15.15,16.78,11.2,10.57,13.74,6.23,3.08,14.94
Net Income Margin,8.59,7.94,-9.82,2.68,5.54,-1.18,-66.78,10.71
ROA,5.65,4.02,-4.11,0.91,2.35,-0.37,-23.21,2.42
ROE,14.84,10.9,-10.19,2.34,5.82,-1.18,-54.74,9.71
EPS(KRW),6334.0,5216.0,-4910.0,1046.0,752.0,-153.0,-6621.0,1093.0
BPS(KRW),45853.0,51082.0,45312.0,44776.0,52097.0,51745.0,45312.0,nan
DPS(KRW),nan,1500.0,1000.0,1000.0,nan,nan,1000.0,nan
PER,4.45,5.55,nan,17.77,nan,nan,nan,nan
PBR,0.62,0.57,0.46,0.41,0.48,0.43,0.46,nan
Issued Shares,30893.0,30893.0,30187.0,nan,30187.0,30187.0,30187.0,nan
Div Yield,nan,5.18,4.78,nan,nan,nan,4.78,nan
