계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,996.0,1001.0,1015.0,nan,277.0,220.0,265.0,nan
Operating Income,38.0,81.0,115.0,nan,48.0,17.0,23.0,nan
Oper.Income(Rep.),38.0,81.0,115.0,nan,48.0,17.0,23.0,nan
Net Income,36.0,65.0,105.0,nan,46.0,12.0,22.0,nan
Net Income(Contr.),33.0,61.0,103.0,nan,45.0,11.0,21.0,nan
Net Income(Minor.),3.0,4.0,3.0,nan,0.0,1.0,0.0,nan
Total Assets,930.0,907.0,977.0,nan,956.0,942.0,977.0,nan
Total Liabilities,173.0,123.0,90.0,nan,143.0,117.0,90.0,nan
Total Equity,758.0,785.0,887.0,nan,813.0,825.0,887.0,nan
Net Income(Contr.),741.0,765.0,864.0,nan,791.0,803.0,864.0,nan
Net Income(Minor.),16.0,20.0,23.0,nan,21.0,22.0,23.0,nan
Capital Stock,35.0,35.0,35.0,nan,35.0,35.0,35.0,nan
Total Debt/Equity,22.78,15.62,10.18,nan,17.62,14.22,10.18,nan
Reserve Ratio,2000.09,2066.38,2347.8,nan,2141.99,2174.35,2347.8,nan
Oper.Income Margin,3.8,8.05,11.37,nan,17.47,7.76,8.78,nan
Net Income Margin,3.28,6.1,10.1,nan,16.38,5.18,8.04,nan
ROA,3.84,7.05,11.15,nan,19.52,5.2,9.08,nan
ROE,4.3,8.11,12.59,nan,23.6,5.71,10.24,nan
EPS(KRW),494.0,922.0,1548.0,nan,685.0,172.0,322.0,nan
BPS(KRW),11206.0,11560.0,13061.0,nan,11963.0,12136.0,13061.0,nan
DPS(KRW),450.0,650.0,1100.0,nan,nan,nan,1100.0,nan
PER,42.43,17.3,10.92,nan,nan,nan,nan,nan
PBR,1.87,1.38,1.29,nan,1.31,1.42,1.29,nan
Issued Shares,6621.0,6621.0,6621.0,nan,6621.0,6621.0,6621.0,nan
Div Yield,2.15,4.08,6.51,nan,nan,nan,6.51,nan
