계정,2023/08,2024/02,2024/08,2025/02(P),2024/05,2024/08,2024/11,2025/02(P)
Sales,520.0,413.0,104.0,149.0,22.0,nan,48.0,nan
Operating Income,393.0,346.0,6.0,18.0,-78.0,nan,38.0,nan
Oper.Income(Rep.),393.0,346.0,6.0,18.0,-78.0,0.0,38.0,nan
Net Income,342.0,295.0,-23.0,-9.0,-94.0,nan,26.0,nan
Net Income(Contr.),342.0,295.0,-23.0,nan,-94.0,nan,26.0,nan
Net Income(Minor.),-0.0,-0.0,-0.0,nan,-0.0,nan,-0.0,nan
Total Assets,5610.0,5791.0,5205.0,nan,5134.0,5205.0,5475.0,nan
Total Liabilities,1569.0,1559.0,1105.0,nan,1105.0,1105.0,1663.0,nan
Total Equity,4041.0,4232.0,4100.0,nan,4030.0,4100.0,3812.0,nan
Net Income(Contr.),4037.0,4228.0,4097.0,nan,4026.0,4097.0,3808.0,nan
Net Income(Minor.),4.0,4.0,4.0,nan,4.0,4.0,3.0,nan
Capital Stock,514.0,514.0,514.0,nan,514.0,514.0,514.0,nan
Total Debt/Equity,38.83,36.84,26.94,nan,27.42,26.94,43.62,nan
Reserve Ratio,684.71,721.92,696.36,nan,682.62,696.36,640.28,nan
Oper.Income Margin,75.72,83.81,6.11,nan,-352.11,nan,79.67,nan
Net Income Margin,65.9,71.33,-22.22,-6.28,-425.12,nan,55.12,nan
ROA,6.25,5.17,-0.42,nan,-6.87,0.0,1.97,nan
ROE,9.52,7.13,-0.56,nan,-9.09,0.0,2.66,nan
EPS(KRW),861.0,573.0,nan,-18.0,-182.0,nan,nan,nan
BPS(KRW),7847.0,8219.0,nan,nan,7826.0,nan,nan,nan
DPS(KRW),414.0,211.0,nan,nan,nan,nan,nan,nan
PER,5.18,7.99,nan,nan,nan,nan,nan,nan
PBR,0.57,0.56,nan,nan,0.65,nan,nan,nan
Issued Shares,51443.0,51443.0,nan,nan,51443.0,nan,nan,nan
Div Yield,9.29,4.61,nan,nan,nan,nan,nan,nan
