계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,10304.0,11133.0,11626.0,10940.0,3205.0,2618.0,2976.0,nan
Operating Income,18.0,733.0,532.0,400.0,353.0,64.0,-48.0,nan
Oper.Income(Rep.),18.0,733.0,532.0,nan,353.0,64.0,-48.0,nan
Net Income,-265.0,670.0,454.0,210.0,240.0,94.0,49.0,nan
Net Income(Contr.),-266.0,667.0,452.0,210.0,239.0,94.0,48.0,nan
Net Income(Minor.),1.0,2.0,2.0,nan,1.0,0.0,0.0,nan
Total Assets,11876.0,13102.0,13665.0,14120.0,13739.0,13548.0,13665.0,nan
Total Liabilities,7914.0,7722.0,7915.0,8160.0,8135.0,7868.0,7915.0,nan
Total Equity,3962.0,5380.0,5750.0,5960.0,5604.0,5680.0,5750.0,nan
Net Income(Contr.),3955.0,5325.0,5693.0,5900.0,5547.0,5623.0,5693.0,nan
Net Income(Minor.),7.0,56.0,57.0,60.0,57.0,57.0,57.0,nan
Capital Stock,1285.0,1285.0,1285.0,1290.0,1285.0,1285.0,1285.0,nan
Total Debt/Equity,199.73,143.52,137.65,136.91,145.17,138.53,137.65,nan
Reserve Ratio,208.32,314.86,343.52,nan,332.16,338.06,343.52,nan
Oper.Income Margin,0.18,6.59,4.58,3.66,11.01,2.44,-1.62,nan
Net Income Margin,-2.58,5.99,3.89,1.92,7.45,3.59,1.63,nan
ROA,-2.29,5.36,3.39,1.51,7.07,2.76,1.43,nan
ROE,-6.56,14.38,8.21,3.62,17.59,6.73,3.42,nan
EPS(KRW),-1052.0,2642.0,1790.0,832.0,945.0,372.0,192.0,nan
BPS(KRW),15691.0,21113.0,22571.0,23391.0,21993.0,22293.0,22571.0,nan
DPS(KRW),200.0,350.0,350.0,350.0,nan,nan,350.0,nan
PER,nan,3.22,4.16,10.81,nan,nan,nan,nan
PBR,0.61,0.4,0.33,0.38,0.38,0.36,0.33,nan
Issued Shares,24516.0,24516.0,24516.0,nan,24516.0,24516.0,24516.0,nan
Div Yield,2.1,4.12,4.7,nan,nan,nan,4.7,nan
