계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,6107.0,6063.0,6288.0,nan,1546.0,1572.0,1835.0,1625.0
Operating Income,123.0,105.0,64.0,nan,20.0,3.0,39.0,29.0
Oper.Income(Rep.),123.0,105.0,64.0,nan,20.0,3.0,39.0,29.0
Net Income,124.0,132.0,190.0,nan,28.0,25.0,119.0,26.0
Net Income(Contr.),124.0,132.0,190.0,nan,28.0,25.0,119.0,26.0
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,3826.0,3833.0,4382.0,nan,3733.0,3648.0,4382.0,nan
Total Liabilities,1221.0,1248.0,1707.0,nan,1216.0,1109.0,1707.0,nan
Total Equity,2605.0,2585.0,2675.0,nan,2517.0,2539.0,2675.0,nan
Net Income(Contr.),2605.0,2585.0,2662.0,nan,2517.0,2539.0,2662.0,nan
Net Income(Minor.),0.0,0.0,13.0,nan,0.0,0.0,13.0,nan
Capital Stock,130.0,130.0,130.0,nan,130.0,130.0,130.0,nan
Total Debt/Equity,46.85,48.28,63.8,nan,48.3,43.67,63.8,nan
Reserve Ratio,2123.01,2107.63,2166.68,nan,2055.01,2072.12,2166.68,nan
Oper.Income Margin,2.02,1.73,1.02,nan,1.31,0.21,2.14,nan
Net Income Margin,2.04,2.17,3.02,nan,1.83,1.61,6.46,1.61
ROA,3.13,3.44,4.62,nan,3.02,2.74,11.81,nan
ROE,4.72,5.07,7.23,nan,4.51,4.0,18.24,nan
EPS(KRW),479.0,507.0,731.0,nan,109.0,97.0,457.0,101.0
BPS(KRW),11115.0,11038.0,11333.0,nan,10775.0,10861.0,11333.0,nan
DPS(KRW),450.0,450.0,450.0,nan,nan,nan,450.0,nan
PER,15.87,14.69,11.78,nan,nan,nan,nan,nan
PBR,0.68,0.67,0.76,nan,0.81,0.75,0.76,nan
Issued Shares,25958.0,25958.0,25958.0,nan,25958.0,25958.0,25958.0,nan
Div Yield,5.92,6.04,5.23,nan,nan,nan,5.23,nan
