계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,883.0,885.0,1016.0,nan,242.0,257.0,304.0,nan
Operating Income,77.0,66.0,139.0,nan,37.0,41.0,93.0,nan
Oper.Income(Rep.),77.0,66.0,139.0,nan,37.0,41.0,93.0,nan
Net Income,2.0,195.0,446.0,nan,85.0,35.0,229.0,nan
Net Income(Contr.),1.0,191.0,439.0,nan,82.0,34.0,227.0,nan
Net Income(Minor.),0.0,3.0,7.0,nan,3.0,1.0,2.0,nan
Total Assets,1495.0,1749.0,2324.0,nan,1939.0,1974.0,2324.0,nan
Total Liabilities,347.0,409.0,516.0,nan,405.0,403.0,516.0,nan
Total Equity,1148.0,1340.0,1809.0,nan,1534.0,1571.0,1809.0,nan
Net Income(Contr.),1151.0,1340.0,1779.0,nan,1514.0,1549.0,1779.0,nan
Net Income(Minor.),-3.0,-0.0,30.0,nan,21.0,22.0,30.0,nan
Capital Stock,122.0,122.0,122.0,nan,122.0,122.0,122.0,nan
Total Debt/Equity,30.19,30.53,28.52,nan,26.41,25.65,28.52,nan
Reserve Ratio,844.95,999.76,1359.62,nan,1149.15,1178.33,1359.62,nan
Oper.Income Margin,8.71,7.49,13.68,nan,15.25,15.84,30.67,nan
Net Income Margin,0.15,21.63,43.24,nan,33.71,13.13,74.77,nan
ROA,0.11,12.0,21.92,nan,17.82,7.07,42.59,nan
ROE,0.12,15.36,28.16,nan,22.21,8.81,54.58,nan
EPS(KRW),5.0,784.0,1800.0,nan,335.0,138.0,931.0,nan
BPS(KRW),4725.0,5499.0,7298.0,nan,6246.0,6392.0,7298.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,1018.0,6.59,2.3,nan,nan,nan,nan,nan
PBR,1.16,0.94,0.57,nan,0.8,0.67,0.57,nan
Issued Shares,24396.0,24396.0,24396.0,nan,24396.0,24396.0,24396.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
