계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,55.0,46.0,48.0,nan,nan,13.0,nan,nan
Operating Income,-121.0,-116.0,-105.0,nan,nan,-28.0,nan,nan
Oper.Income(Rep.),-121.0,-116.0,-105.0,nan,nan,-28.0,0.0,nan
Net Income,-111.0,-153.0,-179.0,nan,nan,-44.0,nan,nan
Net Income(Contr.),-111.0,-153.0,-169.0,nan,nan,-47.0,nan,nan
Net Income(Minor.),nan,nan,-10.0,nan,nan,3.0,nan,nan
Total Assets,618.0,452.0,581.0,nan,nan,713.0,581.0,nan
Total Liabilities,47.0,34.0,131.0,nan,nan,233.0,131.0,nan
Total Equity,571.0,418.0,450.0,nan,nan,480.0,450.0,nan
Net Income(Contr.),571.0,418.0,455.0,nan,nan,471.0,455.0,nan
Net Income(Minor.),0.0,0.0,-4.0,nan,nan,9.0,-4.0,nan
Capital Stock,129.0,129.0,176.0,nan,nan,176.0,176.0,nan
Total Debt/Equity,8.17,8.05,29.15,nan,nan,48.54,29.15,nan
Reserve Ratio,348.5,230.09,162.79,nan,nan,172.25,162.79,nan
Oper.Income Margin,-220.71,-248.93,-217.84,nan,nan,-206.19,nan,nan
Net Income Margin,-202.71,-329.05,-350.86,nan,nan,-354.36,nan,nan
ROA,-15.17,-28.58,-34.66,nan,nan,nan,0.0,nan
ROE,-18.0,-30.9,-38.78,nan,nan,nan,0.0,nan
EPS(KRW),-430.0,-592.0,-550.0,nan,nan,-135.0,0.0,nan
BPS(KRW),2242.0,1650.0,1314.0,nan,nan,1361.0,1314.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,nan,nan,nan,nan,nan
PBR,3.47,1.98,0.69,nan,nan,1.19,0.69,nan
Issued Shares,25826.0,25826.0,35194.0,nan,nan,35194.0,35194.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
