계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1581.0,1606,1285.0,nan,nan,nan,nan,nan
Operating Income,-22.0,-96,27.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),-22.0,-96,27.0,nan,nan,nan,0.0,nan
Net Income,-2922.0,-2177,284.0,nan,nan,nan,nan,nan
Net Income(Contr.),-2922.0,-2177,284.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,2618.0,1084,1170.0,nan,nan,nan,1170.0,nan
Total Liabilities,2289.0,1806,281.0,nan,nan,nan,281.0,nan
Total Equity,329.0,-722,889.0,nan,nan,nan,889.0,nan
Net Income(Contr.),329.0,-722,889.0,nan,nan,nan,889.0,nan
Net Income(Minor.),0.0,0,0.0,nan,nan,nan,0.0,nan
Capital Stock,47.0,187,188.0,nan,nan,nan,188.0,nan
Total Debt/Equity,696.21,Completely Impaired capital,31.54,nan,nan,nan,31.54,nan
Reserve Ratio,601.54,nan,371.85,nan,nan,nan,371.85,nan
Oper.Income Margin,-1.36,-5.99,2.07,nan,nan,nan,nan,nan
Net Income Margin,-184.85,-135.52,22.14,nan,nan,nan,nan,nan
ROA,-164.39,-117.61,23.66,nan,nan,nan,nan,nan
ROE,-645.8,Completely Impaired capital,160.12,nan,nan,nan,nan,nan
EPS(KRW),-2642.0,-1274,151.0,nan,nan,nan,0.0,nan
BPS(KRW),234.0,-386,472.0,nan,nan,nan,472.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,6.59,nan,nan,nan,nan,nan
PBR,17.68,nan,2.11,nan,nan,nan,2.11,nan
Issued Shares,140596.0,186992,188472.0,nan,nan,nan,188472.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
