계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Interest Income,126025.0,183641.0,189549.0,188787.0,47640.0,47227.0,47155.0,nan
Operating Income,36470.0,34323.0,35941.0,36667.0,8276.0,11261.0,6107.0,10240.0
Oper.Income(Rep.),36470.0,34323.0,35941.0,nan,8276.0,11261.0,6107.0,10240.0
Net Income,26747.0,26752.0,26543.0,27694.0,6097.0,8036.0,4566.0,8142.0
Net Income(Contr.),26677.0,26697.0,26445.0,27542.0,6082.0,8014.0,4542.0,8086.0
Net Income(Minor.),70.0,55.0,98.0,nan,15.0,22.0,24.0,nan
Total Assets,4311863.0,4484273.0,4722198.0,5002477.0,4619140.0,4583743.0,4722198.0,nan
Total Liabilities,4019304.0,4166105.0,4379887.0,4642333.0,4293007.0,4246465.0,4379887.0,nan
Total Equity,292559.0,318168.0,342311.0,357970.0,326132.0,337278.0,342311.0,nan
Net Income(Contr.),290938.0,316566.0,339467.0,355791.0,324491.0,334585.0,339467.0,nan
Net Income(Minor.),1621.0,1602.0,2844.0,2179.0,1642.0,2693.0,2844.0,nan
Capital Stock,42114.0,42114.0,42114.0,42111.0,42114.0,42114.0,42114.0,nan
Total Debt/Equity,1373.84,1309.41,1279.51,1296.85,1316.34,1259.04,1279.51,nan
Reserve Ratio,590.84,651.69,706.07,nan,670.51,694.48,706.07,nan
Oper.Income Margin,13.26,11.99,11.08,19.42,15.47,20.61,4.68,nan
Net Income Margin,9.7,9.33,8.15,14.59,11.37,14.67,3.48,nan
ROA,0.65,0.61,0.58,0.57,0.53,0.7,0.39,nan
ROE,9.45,8.79,8.06,7.92,7.57,9.73,5.39,nan
EPS(KRW),3345.0,3348.0,3316.0,3454.0,763.0,1005.0,570.0,1014.0
BPS(KRW),36485.0,39698.0,42570.0,44617.0,40692.0,41958.0,42570.0,nan
DPS(KRW),960.0,984.0,1065.0,1120.0,nan,nan,1065.0,nan
PER,2.94,3.54,4.32,4.32,nan,nan,nan,nan
PBR,0.27,0.3,0.34,0.33,0.34,0.33,0.34,nan
Issued Shares,797426.0,797426.0,797426.0,nan,797426.0,797426.0,797426.0,nan
Div Yield,9.78,8.3,7.43,nan,nan,nan,7.43,nan
