계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,273406.0,259148.0,232261.0,231191.0,60414.0,56243.0,56127.0,55635.0
Operating Income,16165.0,7983.0,1595.0,4307.0,980.0,515.0,-458.0,-190.0
Oper.Income(Rep.),16165.0,7983.0,1595.0,nan,980.0,515.0,-458.0,-190.0
Net Income,10382.0,4430.0,88.0,1436.0,14.0,-162.0,-86.0,-544.0
Net Income(Contr.),10176.0,4612.0,-116.0,1384.0,-74.0,-176.0,-181.0,-551.0
Net Income(Minor.),206.0,-182.0,204.0,nan,88.0,14.0,96.0,nan
Total Assets,368010.0,352188.0,347438.0,348769.0,347922.0,339722.0,347438.0,nan
Total Liabilities,176724.0,157228.0,154102.0,154210.0,153090.0,146526.0,154102.0,nan
Total Equity,191285.0,194960.0,193336.0,194559.0,194832.0,193195.0,193336.0,nan
Net Income(Contr.),187137.0,191001.0,189183.0,190372.0,190770.0,189126.0,189183.0,nan
Net Income(Minor.),4148.0,3959.0,4153.0,4187.0,4062.0,4070.0,4153.0,nan
Capital Stock,6672.0,6672.0,6672.0,6671.0,6672.0,6672.0,6672.0,nan
Total Debt/Equity,92.39,80.65,79.71,79.26,78.58,75.84,79.71,nan
Reserve Ratio,2721.55,2779.46,2752.21,nan,2775.99,2751.35,2752.21,nan
Oper.Income Margin,5.91,3.08,0.69,1.86,1.62,0.92,-0.82,nan
Net Income Margin,3.72,1.78,-0.05,0.6,-0.12,-0.31,-0.32,-0.98
ROA,2.81,1.23,0.03,0.41,0.02,-0.19,-0.1,nan
ROE,5.56,2.44,-0.06,0.73,-0.16,-0.37,-0.38,nan
EPS(KRW),7625.0,3456.0,-87.0,1037.0,-56.0,-132.0,-136.0,-413.0
BPS(KRW),141078.0,143973.0,142610.0,143501.0,143799.0,142567.0,142610.0,nan
DPS(KRW),1000.0,1000.0,750.0,750.0,nan,nan,750.0,nan
PER,4.01,10.56,nan,23.67,nan,nan,nan,nan
PBR,0.22,0.25,0.15,0.17,0.2,0.2,0.15,nan
Issued Shares,133446.0,133446.0,133446.0,nan,133446.0,133446.0,133446.0,nan
Div Yield,3.27,2.74,3.56,nan,nan,nan,3.56,nan
