계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,4050.0,8904.0,10068.0,nan,nan,nan,nan,nan
Operating Income,-813.0,1598.0,1463.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),-813.0,1598.0,1463.0,nan,nan,nan,0.0,nan
Net Income,-1504.0,1041.0,24.0,nan,nan,nan,nan,nan
Net Income(Contr.),-1504.0,1041.0,24.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,12279.0,13581.0,14176.0,nan,nan,nan,14176.0,nan
Total Liabilities,11012.0,11713.0,12785.0,nan,nan,nan,12785.0,nan
Total Equity,1267.0,1868.0,1391.0,nan,nan,nan,1391.0,nan
Net Income(Contr.),1267.0,1868.0,1391.0,nan,nan,nan,1391.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,1166.0,1166.0,1166.0,nan,nan,nan,1166.0,nan
Total Debt/Equity,869.44,626.97,919.09,nan,nan,nan,919.09,nan
Reserve Ratio,9.19,60.76,19.86,nan,nan,nan,19.86,nan
Oper.Income Margin,-20.08,17.94,14.53,nan,nan,nan,nan,nan
Net Income Margin,-37.14,11.7,0.24,nan,nan,nan,nan,nan
ROA,-13.44,8.05,0.17,nan,nan,nan,nan,nan
ROE,-116.96,66.45,1.48,nan,nan,nan,nan,nan
EPS(KRW),-1819.0,893.0,21.0,nan,nan,nan,0.0,nan
BPS(KRW),1092.0,1608.0,1199.0,nan,nan,nan,1199.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,3.43,110.94,nan,nan,nan,nan,nan
PBR,2.5,1.9,1.92,nan,nan,nan,1.92,nan
Issued Shares,116640.0,116640.0,116640.0,nan,nan,nan,116640.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
