계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,13162.0,9097.0,8921.0,9596.0,2382.0,2327.0,2065.0,2161.0
Operating Income,2325.0,237.0,113.0,364.0,109.0,92.0,-60.0,-38.0
Oper.Income(Rep.),2325.0,237.0,113.0,nan,109.0,92.0,-60.0,nan
Net Income,1839.0,254.0,238.0,401.0,122.0,52.0,44.0,5.0
Net Income(Contr.),1839.0,254.0,238.0,401.0,122.0,52.0,44.0,-2.0
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,11918.0,11275.0,10887.0,11502.0,11108.0,10967.0,10887.0,nan
Total Liabilities,3368.0,2592.0,2132.0,2450.0,2430.0,2241.0,2132.0,nan
Total Equity,8550.0,8683.0,8755.0,9052.0,8677.0,8726.0,8755.0,nan
Net Income(Contr.),8550.0,8683.0,8755.0,9052.0,8677.0,8726.0,8755.0,nan
Net Income(Minor.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
Capital Stock,258.0,258.0,258.0,259.0,258.0,258.0,258.0,nan
Total Debt/Equity,39.39,29.85,24.35,27.07,28.01,25.69,24.35,nan
Reserve Ratio,3219.54,3271.36,3299.23,nan,3269.08,3287.73,3299.23,nan
Oper.Income Margin,17.67,2.61,1.26,3.79,4.58,3.96,-2.89,-1.77
Net Income Margin,13.97,2.79,2.66,4.18,5.13,2.23,2.12,-0.09
ROA,17.25,2.19,2.14,3.58,4.37,1.88,1.6,0.17
ROE,23.93,2.95,2.73,4.5,5.68,2.38,2.01,-0.09
EPS(KRW),3571.0,493.0,461.0,778.0,237.0,100.0,85.0,-4.0
BPS(KRW),16598.0,16857.0,16996.0,17572.0,16845.0,16939.0,16996.0,nan
DPS(KRW),400.0,300.0,400.0,367.0,nan,nan,400.0,nan
PER,5.29,54.91,33.6,18.81,nan,nan,nan,nan
PBR,1.14,1.6,0.91,0.83,1.29,1.11,0.91,nan
Issued Shares,49417.0,49417.0,49417.0,nan,49417.0,49417.0,49417.0,nan
Div Yield,2.12,1.11,2.58,nan,nan,nan,2.58,nan
