계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,2675.0,1336.0,1855.0,4371.0,508.0,467.0,477.0,346.0
Operating Income,577.0,32.0,234.0,1085.0,72.0,62.0,45.0,18.0
Oper.Income(Rep.),577.0,32.0,234.0,nan,72.0,62.0,45.0,18.0
Net Income,332.0,-111.0,-220.0,750.0,-14.0,141.0,-264.0,nan
Net Income(Contr.),326.0,-93.0,-209.0,742.0,-11.0,146.0,-261.0,nan
Net Income(Minor.),6.0,-18.0,-11.0,nan,-3.0,-5.0,-3.0,nan
Total Assets,4883.0,4859.0,5062.0,7765.0,4989.0,5022.0,5062.0,nan
Total Liabilities,2427.0,2703.0,3179.0,5022.0,2982.0,2873.0,3179.0,nan
Total Equity,2456.0,2156.0,1883.0,2743.0,2007.0,2149.0,1883.0,nan
Net Income(Contr.),2316.0,2169.0,1908.0,2761.0,2023.0,2170.0,1908.0,nan
Net Income(Minor.),139.0,-13.0,-24.0,-19.0,-16.0,-21.0,-24.0,nan
Capital Stock,190.0,190.0,190.0,190.0,190.0,190.0,190.0,nan
Total Debt/Equity,98.83,125.38,168.83,183.12,148.56,133.69,168.83,nan
Reserve Ratio,1195.6,1118.09,980.3,nan,1041.14,1118.56,980.3,nan
Oper.Income Margin,21.56,2.37,12.62,24.83,14.13,13.22,9.41,nan
Net Income Margin,12.2,-6.97,-11.26,16.98,-2.24,31.25,-54.73,nan
ROA,6.67,-2.28,-4.43,11.69,-1.14,11.27,-20.97,nan
ROE,14.54,-4.15,-10.24,31.8,-2.24,27.86,-51.19,nan
EPS(KRW),862.0,-249.0,-559.0,1987.0,-30.0,391.0,-698.0,nan
BPS(KRW),6582.0,6189.0,5489.0,7773.0,5798.0,6191.0,5489.0,nan
DPS(KRW),130.0,130.0,130.0,130.0,nan,nan,130.0,nan
PER,6.54,nan,nan,16.93,nan,nan,nan,nan
PBR,0.86,1.85,7.01,4.33,11.0,6.02,7.01,nan
Issued Shares,37354.0,37354.0,37354.0,nan,37354.0,37354.0,37354.0,nan
Div Yield,2.3,1.14,0.34,nan,nan,nan,0.34,nan
