계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,1775.0,2444.0,3158.0,4196.0,851.0,808.0,886.0,830.0
Operating Income,111.0,184.0,332.0,512.0,90.0,88.0,91.0,103.0
Oper.Income(Rep.),111.0,184.0,332.0,nan,90.0,88.0,91.0,103.0
Net Income,141.0,316.0,758.0,421.0,94.0,95.0,502.0,139.0
Net Income(Contr.),141.0,316.0,758.0,421.0,94.0,95.0,502.0,139.0
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,4163.0,4540.0,4950.0,5598.0,4728.0,4327.0,4950.0,nan
Total Liabilities,2242.0,2286.0,1856.0,2022.0,2345.0,1396.0,1856.0,nan
Total Equity,1921.0,2254.0,3094.0,3576.0,2383.0,2931.0,3094.0,nan
Net Income(Contr.),1921.0,2254.0,3094.0,3670.0,2383.0,2931.0,3094.0,nan
Net Income(Minor.),0.0,0.0,0.0,-93.0,0.0,0.0,0.0,nan
Capital Stock,710.0,714.0,848.0,849.0,714.0,848.0,848.0,nan
Total Debt/Equity,116.66,101.45,59.99,56.53,98.4,47.64,59.99,nan
Reserve Ratio,170.8,215.73,264.81,nan,233.86,245.65,264.81,nan
Oper.Income Margin,6.27,7.52,10.51,12.19,10.58,10.9,10.32,nan
Net Income Margin,7.97,12.95,24.0,10.03,11.03,11.77,56.66,16.7
ROA,3.34,7.27,15.97,7.98,7.99,8.4,43.27,nan
ROE,8.17,15.16,28.34,12.45,16.01,14.32,66.63,nan
EPS(KRW),499.0,1108.0,2459.0,1241.0,329.0,296.0,1479.0,409.0
BPS(KRW),6770.0,7893.0,9120.0,10818.0,8347.0,8641.0,9120.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,14.2,10.56,9.94,30.38,nan,nan,nan,nan
PBR,1.05,1.48,2.68,3.49,2.22,2.21,2.68,nan
Issued Shares,28381.0,28553.0,33922.0,nan,28553.0,33917.0,33922.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
