계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,21880.0,24525.0,28037.0,35494.0,6873.0,6392.0,9328.0,6901.0
Operating Income,391.0,1226.0,2193.0,2331.0,798.0,570.0,432.0,582.0
Oper.Income(Rep.),391.0,1226.0,2193.0,nan,798.0,570.0,432.0,582.0
Net Income,-808.0,3431.0,4454.0,2047.0,270.0,81.0,3599.0,410.0
Net Income(Contr.),-766.0,3492.0,4543.0,2088.0,283.0,94.0,3648.0,378.0
Net Income(Minor.),-42.0,-61.0,-89.0,nan,-13.0,-13.0,-49.0,nan
Total Assets,39456.0,44832.0,57240.0,58220.0,50112.0,50604.0,57240.0,nan
Total Liabilities,19267.0,23291.0,33076.0,31842.0,28130.0,28646.0,33076.0,nan
Total Equity,20190.0,21541.0,24164.0,26377.0,21982.0,21958.0,24164.0,nan
Net Income(Contr.),20003.0,21398.0,24901.0,26640.0,21836.0,21825.0,24901.0,nan
Net Income(Minor.),186.0,143.0,-736.0,-263.0,146.0,133.0,-736.0,nan
Capital Stock,9446.0,9446.0,9446.0,9449.0,9446.0,9446.0,9446.0,nan
Total Debt/Equity,95.43,108.12,136.88,120.72,127.97,130.45,136.88,nan
Reserve Ratio,115.38,130.14,167.22,nan,134.78,134.66,167.22,nan
Oper.Income Margin,1.79,5.0,7.82,6.57,11.62,8.92,4.64,nan
Net Income Margin,-3.5,14.24,16.2,5.88,4.12,1.47,39.11,5.94
ROA,-2.06,8.14,8.73,3.55,2.22,0.65,26.7,nan
ROE,-3.63,16.87,19.62,8.1,5.22,1.72,62.46,nan
EPS(KRW),-405.0,1849.0,2405.0,1105.0,150.0,50.0,1931.0,200.0
BPS(KRW),10769.0,11507.0,13361.0,14282.0,11739.0,11733.0,13361.0,nan
DPS(KRW),250.0,280.0,350.0,306.0,nan,nan,350.0,nan
PER,nan,9.39,9.4,38.27,nan,nan,nan,nan
PBR,0.98,1.51,1.69,2.96,1.61,1.52,1.69,nan
Issued Shares,188919.0,188919.0,188919.0,nan,188919.0,188919.0,188919.0,nan
Div Yield,2.37,1.61,1.55,nan,nan,nan,1.55,nan
