계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,4388.0,5040.0,6992.0,nan,1883.0,1843.0,1788.0,1678.0
Operating Income,-621.0,-730.0,35.0,nan,63.0,52.0,-40.0,nan
Oper.Income(Rep.),-621.0,-730.0,35.0,nan,63.0,52.0,-40.0,nan
Net Income,-937.0,-1017.0,181.0,nan,421.0,95.0,-176.0,nan
Net Income(Contr.),-864.0,-889.0,71.0,nan,361.0,1.0,-132.0,nan
Net Income(Minor.),-72.0,-128.0,110.0,nan,60.0,94.0,-44.0,nan
Total Assets,7560.0,7334.0,7958.0,nan,8138.0,7839.0,7958.0,nan
Total Liabilities,5885.0,6405.0,6619.0,nan,6819.0,6467.0,6619.0,nan
Total Equity,1675.0,929.0,1339.0,nan,1319.0,1372.0,1339.0,nan
Net Income(Contr.),793.0,178.0,388.0,nan,485.0,446.0,388.0,nan
Net Income(Minor.),882.0,751.0,952.0,nan,834.0,926.0,952.0,nan
Capital Stock,191.0,229.0,229.0,nan,229.0,229.0,229.0,nan
Total Debt/Equity,351.31,689.09,494.2,nan,517.17,471.36,494.2,nan
Reserve Ratio,364.21,18.83,110.07,nan,152.46,135.39,110.07,nan
Oper.Income Margin,-14.16,-14.48,0.5,nan,3.34,2.83,-2.25,nan
Net Income Margin,-19.7,-17.64,1.02,nan,19.19,0.05,-7.36,nan
ROA,-12.23,-13.66,2.37,nan,21.22,4.77,-8.91,nan
ROE,-70.71,-183.08,25.13,nan,481.75,0.78,-126.37,nan
EPS(KRW),-2262.0,-2297.0,155.0,nan,788.0,2.0,-287.0,nan
BPS(KRW),2321.0,594.0,1050.0,nan,1262.0,1177.0,1050.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,19.75,nan,nan,nan,nan,nan
PBR,2.16,6.71,2.91,nan,2.49,3.39,2.91,nan
Issued Shares,38224.0,45868.0,45868.0,nan,45868.0,45868.0,45868.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
