계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,131308.0,130785.0,123940.0,147467.0,26793.0,27732.0,45486.0,30945.0
Operating Income,9237.0,5792.0,-3002.0,7050.0,-1078.0,-810.0,1052.0,303.0
Oper.Income(Rep.),9237.0,5792.0,-3002.0,nan,-1078.0,-810.0,1052.0,303.0
Net Income,3660.0,-882.0,-13690.0,1237.0,-3297.0,-3876.0,-2032.0,-302.0
Net Income(Contr.),3591.0,-1410.0,-14044.0,1258.0,-3671.0,-4005.0,-1777.0,-445.0
Net Income(Minor.),69.0,528.0,354.0,nan,373.0,129.0,-255.0,nan
Total Assets,238319.0,247904.0,300368.0,309966.0,291517.0,294092.0,300368.0,nan
Total Liabilities,139350.0,155102.0,194300.0,203341.0,193382.0,193739.0,194300.0,nan
Total Equity,98969.0,92802.0,106069.0,106625.0,98136.0,100353.0,106069.0,nan
Net Income(Contr.),89206.0,81172.0,94497.0,95239.0,86563.0,88710.0,94497.0,nan
Net Income(Minor.),9763.0,11631.0,11572.0,11386.0,11573.0,11643.0,11572.0,nan
Capital Stock,9782.0,8886.0,8886.0,8889.0,8886.0,8886.0,8886.0,nan
Total Debt/Equity,140.8,167.13,183.18,190.71,197.06,193.06,183.18,nan
Reserve Ratio,823.32,825.91,975.84,nan,886.58,910.75,975.84,nan
Oper.Income Margin,7.03,4.43,-2.42,4.78,-4.02,-2.92,2.31,nan
Net Income Margin,2.74,-1.08,-11.33,0.85,-13.7,-14.44,-3.91,-0.98
ROA,1.67,-0.36,-4.99,0.41,-4.71,-5.3,-2.73,nan
ROE,4.21,-1.66,-15.99,1.33,-18.2,-18.28,-7.76,nan
EPS(KRW),1864.0,-794.0,-8050.0,721.0,-2104.0,-2296.0,-1019.0,-255.0
BPS(KRW),46878.0,47157.0,54793.0,55219.0,50247.0,51478.0,54793.0,nan
DPS(KRW),nan,300.0,300.0,321.0,nan,nan,300.0,nan
PER,28.78,nan,nan,41.74,nan,nan,nan,nan
PBR,1.14,0.84,0.29,0.55,0.55,0.5,0.29,nan
Issued Shares,191279.0,171893.0,171893.0,nan,171893.0,171893.0,171893.0,nan
Div Yield,nan,0.76,1.86,nan,nan,nan,1.86,nan
