계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,1963.0,2164.0,2386.0,nan,nan,nan,nan,nan
Operating Income,14.0,55.0,105.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),14.0,55.0,105.0,nan,nan,nan,0.0,nan
Net Income,6.0,30.0,46.0,nan,nan,nan,nan,nan
Net Income(Contr.),6.0,30.0,46.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,2405.0,2663.0,2839.0,nan,nan,nan,2839.0,nan
Total Liabilities,968.0,1219.0,1377.0,nan,nan,nan,1377.0,nan
Total Equity,1437.0,1444.0,1462.0,nan,nan,nan,1462.0,nan
Net Income(Contr.),1437.0,1444.0,1462.0,nan,nan,nan,1462.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,120.0,120.0,120.0,nan,nan,nan,120.0,nan
Total Debt/Equity,67.39,84.45,94.24,nan,nan,nan,94.24,nan
Reserve Ratio,1102.2,1107.87,1122.7,nan,nan,nan,1122.7,nan
Oper.Income Margin,0.71,2.56,4.38,nan,nan,nan,nan,nan
Net Income Margin,0.31,1.37,1.94,nan,nan,nan,nan,nan
ROA,0.26,1.17,1.69,nan,nan,nan,nan,nan
ROE,0.42,2.06,3.19,nan,nan,nan,nan,nan
EPS(KRW),26.0,124.0,194.0,nan,nan,nan,0.0,nan
BPS(KRW),6011.0,6039.0,6113.0,nan,nan,nan,6113.0,nan
DPS(KRW),50.0,50.0,50.0,nan,nan,nan,50.0,nan
PER,287.35,49.49,32.05,nan,nan,nan,nan,nan
PBR,1.22,1.02,1.02,nan,nan,nan,1.02,nan
Issued Shares,23907.0,23907.0,23907.0,nan,nan,nan,23907.0,nan
Div Yield,0.68,0.81,0.8,nan,nan,nan,0.8,nan
