계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Net Operating Revenue,13664.0,16785.0,20120.0,21219.0,5634.0,4559.0,4530.0,nan
Operating Income,5214.0,7258.0,9011.0,9882.0,2688.0,1882.0,1672.0,2890.0
Oper.Income(Rep.),5214.0,7258.0,9011.0,nan,2688.0,1882.0,1672.0,2890.0
Net Income,3029.0,5530.0,6866.0,7539.0,1972.0,1540.0,1100.0,2082.0
Net Income(Contr.),3034.0,5564.0,6867.0,7584.0,1972.0,1539.0,1100.0,2082.0
Net Income(Minor.),-5.0,-34.0,-0.0,nan,-0.0,0.0,-0.0,nan
Total Assets,534283.0,566979.0,624271.0,655608.0,612065.0,640035.0,624271.0,nan
Total Liabilities,462002.0,490845.0,543077.0,570629.0,534144.0,561045.0,543077.0,nan
Total Equity,72281.0,76134.0,81194.0,85014.0,77921.0,78990.0,81194.0,nan
Net Income(Contr.),72234.0,76118.0,81144.0,84493.0,77905.0,78974.0,81144.0,nan
Net Income(Minor.),47.0,16.0,50.0,520.0,16.0,17.0,50.0,nan
Capital Stock,17826.0,17826.0,17826.0,17830.0,17826.0,17826.0,17826.0,nan
Total Debt/Equity,639.18,644.71,668.87,671.22,685.49,710.27,668.87,nan
Reserve Ratio,306.04,327.83,356.03,nan,337.86,343.85,356.03,nan
Oper.Income Margin,4.64,7.0,8.98,46.57,13.46,8.25,5.84,nan
Net Income Margin,2.7,5.37,6.84,35.74,9.87,6.75,3.85,nan
ROA,0.54,1.0,1.15,1.18,1.32,0.98,0.7,nan
ROE,4.32,7.5,8.73,9.16,10.26,7.85,5.5,nan
EPS(KRW),882.0,1587.0,1976.0,2190.0,569.0,444.0,318.0,601.0
BPS(KRW),20648.0,21756.0,23469.0,24436.0,22534.0,22843.0,23469.0,nan
DPS(KRW),700.0,800.0,950.0,1010.0,nan,nan,950.0,nan
PER,9.94,6.51,7.06,6.57,nan,nan,nan,nan
PBR,0.42,0.47,0.59,0.59,0.56,0.59,0.59,nan
Issued Shares,331666.0,331666.0,327492.0,nan,327492.0,327492.0,327492.0,nan
Div Yield,7.98,7.74,6.81,nan,nan,nan,6.81,nan
