계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,241.0,276.0,271.0,309.0,61.0,70.0,91.0,54.0
Operating Income,73.0,78.0,53.0,79.0,6.0,17.0,29.0,2.0
Oper.Income(Rep.),73.0,78.0,53.0,nan,6.0,17.0,29.0,2.0
Net Income,100.0,-267.0,100.0,101.0,12.0,17.0,63.0,-7.0
Net Income(Contr.),100.0,-267.0,100.0,100.0,12.0,17.0,63.0,-7.0
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,631.0,807.0,840.0,849.0,727.0,721.0,840.0,nan
Total Liabilities,211.0,77.0,82.0,68.0,55.0,58.0,82.0,nan
Total Equity,420.0,729.0,758.0,781.0,673.0,663.0,758.0,nan
Net Income(Contr.),420.0,729.0,758.0,781.0,673.0,663.0,758.0,nan
Net Income(Minor.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
Capital Stock,50.0,106.0,106.0,108.0,106.0,106.0,106.0,nan
Total Debt/Equity,50.28,10.57,10.82,8.64,8.13,8.73,10.82,nan
Reserve Ratio,838.09,591.11,740.45,nan,593.75,613.1,740.45,nan
Oper.Income Margin,30.31,28.2,19.51,25.59,10.39,24.54,32.12,nan
Net Income Margin,41.35,-96.82,36.97,32.4,20.6,23.93,69.19,-12.77
ROA,18.28,-37.14,12.16,11.91,6.67,9.29,32.22,nan
ROE,24.93,-46.46,13.46,13.0,7.18,10.07,35.39,nan
EPS(KRW),513.0,-1282.0,481.0,475.0,60.0,81.0,302.0,-33.0
BPS(KRW),2236.0,3503.0,4260.0,4310.0,3517.0,3615.0,4260.0,nan
DPS(KRW),98.0,nan,100.0,nan,nan,nan,100.0,nan
PER,13.74,nan,32.7,35.8,nan,nan,nan,nan
PBR,3.15,9.09,3.69,3.94,5.61,4.17,3.69,nan
Issued Shares,19281.0,20823.0,20823.0,nan,20823.0,20823.0,20823.0,nan
Div Yield,1.39,nan,0.64,nan,nan,nan,0.64,nan
