계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,316,374.0,546.0,nan,nan,nan,nan,nan
Operating Income,25,27.0,44.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),25,27.0,44.0,nan,nan,nan,0.0,nan
Net Income,10,4.0,-21.0,nan,nan,nan,nan,nan
Net Income(Contr.),10,4.0,-21.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,547,619.0,646.0,nan,nan,nan,646.0,nan
Total Liabilities,479,546.0,366.0,nan,nan,nan,366.0,nan
Total Equity,69,73.0,280.0,nan,nan,nan,280.0,nan
Net Income(Contr.),69,73.0,280.0,nan,nan,nan,280.0,nan
Net Income(Minor.),0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,10,10.0,16.0,nan,nan,nan,16.0,nan
Total Debt/Equity,695.58,743.25,131.0,nan,nan,nan,131.0,nan
Reserve Ratio,594.99,641.37,1674.35,nan,nan,nan,1674.35,nan
Oper.Income Margin,7.88,7.36,8.15,nan,nan,nan,nan,nan
Net Income Margin,3.11,0.99,-3.77,nan,nan,nan,nan,nan
ROA,N/A(IFRS),0.64,-3.26,nan,nan,nan,nan,nan
ROE,N/A(IFRS),5.21,-11.67,nan,nan,nan,nan,nan
EPS(KRW),58,22.0,-116.0,nan,nan,nan,0.0,nan
BPS(KRW),403,430.0,1519.0,nan,nan,nan,1519.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,nan,nan,nan,nan,nan
PBR,nan,nan,nan,nan,nan,nan,nan,nan
Issued Shares,11564,11564.0,18403.0,nan,nan,nan,18403.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
