계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1577.0,1668.0,1693.0,nan,nan,nan,nan,nan
Operating Income,61.0,74.0,108.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),61.0,74.0,108.0,nan,nan,nan,0.0,nan
Net Income,70.0,61.0,92.0,nan,nan,nan,nan,nan
Net Income(Contr.),70.0,61.0,92.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,1856.0,1867.0,1919.0,nan,nan,nan,1919.0,nan
Total Liabilities,650.0,614.0,592.0,nan,nan,nan,592.0,nan
Total Equity,1206.0,1253.0,1327.0,nan,nan,nan,1327.0,nan
Net Income(Contr.),1206.0,1253.0,1327.0,nan,nan,nan,1327.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,75.0,75.0,75.0,nan,nan,nan,75.0,nan
Total Debt/Equity,53.87,49.04,44.58,nan,nan,nan,44.58,nan
Reserve Ratio,1521.84,1583.5,1682.66,nan,nan,nan,1682.66,nan
Oper.Income Margin,3.86,4.44,6.37,nan,nan,nan,nan,nan
Net Income Margin,4.41,3.66,5.45,nan,nan,nan,nan,nan
ROA,3.91,3.28,4.87,nan,nan,nan,nan,nan
ROE,5.89,4.97,7.15,nan,nan,nan,nan,nan
EPS(KRW),464.0,407.0,615.0,nan,nan,nan,0.0,nan
BPS(KRW),8109.0,8417.0,8913.0,nan,nan,nan,8913.0,nan
DPS(KRW),100.0,120.0,180.0,nan,nan,nan,180.0,nan
PER,12.1,16.45,7.32,nan,nan,nan,nan,nan
PBR,0.69,0.8,0.5,nan,nan,nan,0.5,nan
Issued Shares,15000.0,15000.0,15000.0,nan,nan,nan,15000.0,nan
Div Yield,1.78,1.79,4.0,nan,nan,nan,4.0,nan
