계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,35592.0,40414.0,45322.0,49963.0,11319.0,11150.0,12407.0,11789.0
Operating Income,231.0,4110.0,5886.0,6594.0,1515.0,1402.0,1512.0,1626.0
Oper.Income(Rep.),231.0,4110.0,5886.0,nan,1515.0,1402.0,1512.0,nan
Net Income,-775.0,1718.0,3516.0,4079.0,808.0,922.0,876.0,911.0
Net Income(Contr.),-790.0,1578.0,3249.0,3804.0,733.0,884.0,759.0,944.0
Net Income(Minor.),15.0,141.0,267.0,nan,75.0,38.0,117.0,nan
Total Assets,46950.0,48310.0,53628.0,56208.0,50224.0,50266.0,53628.0,nan
Total Liabilities,34504.0,34319.0,34580.0,34060.0,33889.0,33506.0,34580.0,nan
Total Equity,12446.0,13991.0,19048.0,22147.0,16335.0,16760.0,19048.0,nan
Net Income(Contr.),11261.0,12644.0,17206.0,20334.0,14756.0,15231.0,17206.0,nan
Net Income(Minor.),1184.0,1347.0,1843.0,1813.0,1579.0,1528.0,1843.0,nan
Capital Stock,14363.0,14363.0,14363.0,14361.0,14363.0,14363.0,14363.0,nan
Total Debt/Equity,277.24,245.3,181.54,153.79,207.46,199.92,181.54,nan
Reserve Ratio,nan,nan,19.79,nan,2.74,6.05,19.79,nan
Oper.Income Margin,0.65,10.17,12.99,13.2,13.38,12.58,12.19,13.79
Net Income Margin,-2.22,3.9,7.17,7.61,6.48,7.93,6.12,8.01
ROA,-1.71,3.61,6.9,7.43,6.44,7.34,6.75,6.79
ROE,-6.87,13.2,21.77,20.27,20.53,23.58,18.71,21.95
EPS(KRW),-275.0,549.0,1131.0,1324.0,255.0,308.0,264.0,329.0
BPS(KRW),3920.0,4401.0,5990.0,7079.0,5137.0,5302.0,5990.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,9.81,4.22,3.41,nan,nan,nan,nan
PBR,0.71,1.22,0.8,0.64,1.27,0.85,0.8,nan
Issued Shares,287260.0,287260.0,287260.0,nan,287260.0,287260.0,287260.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
