계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,503.0,397.0,367.0,nan,101.0,97.0,81.0,nan
Operating Income,89.0,16.0,-8.0,nan,4.0,6.0,-10.0,nan
Oper.Income(Rep.),89.0,16.0,-8.0,nan,4.0,6.0,-10.0,nan
Net Income,94.0,14.0,-12.0,nan,2.0,7.0,-18.0,nan
Net Income(Contr.),94.0,14.0,-12.0,nan,2.0,7.0,-18.0,nan
Net Income(Minor.),-0.0,nan,nan,nan,nan,nan,nan,nan
Total Assets,569.0,470.0,502.0,nan,509.0,501.0,502.0,nan
Total Liabilities,139.0,122.0,137.0,nan,145.0,126.0,137.0,nan
Total Equity,430.0,348.0,365.0,nan,364.0,376.0,365.0,nan
Net Income(Contr.),430.0,348.0,365.0,nan,364.0,376.0,365.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,47.0,47.0,49.0,nan,49.0,49.0,49.0,nan
Total Debt/Equity,32.4,34.92,37.52,nan,39.88,33.43,37.52,nan
Reserve Ratio,810.4,847.99,851.18,nan,850.66,873.97,851.18,nan
Oper.Income Margin,17.79,3.97,-2.23,nan,4.03,5.91,-12.73,nan
Net Income Margin,18.77,3.54,-3.36,nan,2.39,7.68,-22.0,nan
ROA,18.33,2.7,-2.54,nan,1.94,5.91,-14.13,nan
ROE,24.83,3.61,-3.46,nan,2.68,8.08,-19.14,nan
EPS(KRW),1002.0,149.0,-128.0,nan,25.0,77.0,-182.0,nan
BPS(KRW),4552.0,4740.0,4756.0,nan,4753.0,4870.0,4756.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,12.53,72.7,nan,nan,nan,nan,nan,nan
PBR,2.76,2.28,1.18,nan,1.29,1.03,1.18,nan
Issued Shares,9438.0,9457.0,9755.0,nan,9755.0,9755.0,9755.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
