계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,169958.0,191301.0,181329.0,183210.0,45922.0,38785.0,51998.0,44513.0
Operating Income,11260.0,14363.0,10038.0,12598.0,3367.0,1102.0,2089.0,3523.0
Oper.Income(Rep.),11260.0,14363.0,10038.0,nan,3367.0,1102.0,2089.0,nan
Net Income,-5812.0,2721.0,3022.0,5473.0,2163.0,-949.0,-451.0,2389.0
Net Income(Contr.),-6964.0,-3883.0,-2262.0,1798.0,206.0,-883.0,-1635.0,805.0
Net Income(Minor.),1152.0,6604.0,5284.0,nan,1957.0,-66.0,1184.0,nan
Total Assets,263154.0,282868.0,301431.0,295275.0,299391.0,290172.0,301431.0,nan
Total Liabilities,160175.0,170801.0,182536.0,177333.0,180006.0,174216.0,182536.0,nan
Total Equity,102978.0,112067.0,118895.0,117943.0,119385.0,115956.0,118895.0,nan
Net Income(Contr.),17907.0,16241.0,14802.0,14903.0,16616.0,15505.0,14802.0,nan
Net Income(Minor.),85071.0,95826.0,104093.0,103040.0,102769.0,100451.0,104093.0,nan
Capital Stock,1237.0,1237.0,1237.0,1240.0,1237.0,1237.0,1237.0,nan
Total Debt/Equity,155.54,152.41,153.53,150.36,150.78,150.24,153.53,nan
Reserve Ratio,1496.72,1362.08,1245.73,nan,1392.37,1302.54,1245.73,nan
Oper.Income Margin,6.63,7.51,5.54,6.88,7.33,2.84,4.02,7.92
Net Income Margin,-4.1,-2.03,-1.25,0.98,0.45,-2.28,-3.14,1.81
ROA,-2.22,1.0,1.03,1.83,2.92,-1.29,-0.61,3.17
ROE,-36.0,-22.74,-14.57,12.1,5.03,-22.0,-43.15,21.75
EPS(KRW),-32522.0,-18133.0,-10562.0,8394.0,963.0,-4124.0,-7633.0,3759.0
BPS(KRW),92268.0,84487.0,77764.0,78235.0,86237.0,81047.0,77764.0,nan
DPS(KRW),2000.0,2000.0,2000.0,2375.0,nan,nan,2000.0,nan
PER,nan,nan,nan,35.26,nan,nan,nan,nan
PBR,0.9,1.11,3.28,3.78,2.52,2.09,3.28,nan
Issued Shares,16524.0,16524.0,16524.0,nan,16524.0,16524.0,16524.0,nan
Div Yield,2.41,2.13,0.78,nan,nan,nan,0.78,nan
