계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,14339.0,14719.0,18000.0,nan,4929.0,3875.0,5336.0,nan
Operating Income,442.0,566.0,715.0,nan,253.0,119.0,157.0,nan
Oper.Income(Rep.),449.0,575.0,725.0,nan,255.0,118.0,169.0,nan
Net Income,287.0,479.0,504.0,nan,206.0,62.0,78.0,nan
Net Income(Contr.),184.0,275.0,226.0,nan,104.0,21.0,23.0,nan
Net Income(Minor.),103.0,205.0,278.0,nan,102.0,41.0,56.0,nan
Total Assets,15861.0,16648.0,19673.0,nan,18414.0,18090.0,19673.0,nan
Total Liabilities,6782.0,7269.0,9232.0,nan,8080.0,7707.0,9232.0,nan
Total Equity,9079.0,9379.0,10441.0,nan,10334.0,10383.0,10441.0,nan
Net Income(Contr.),4323.0,4488.0,4630.0,nan,4603.0,4618.0,4630.0,nan
Net Income(Minor.),4755.0,4890.0,5811.0,nan,5731.0,5765.0,5811.0,nan
Capital Stock,499.0,499.0,499.0,nan,499.0,499.0,499.0,nan
Total Debt/Equity,74.7,77.51,88.42,nan,78.18,74.23,88.42,nan
Reserve Ratio,800.72,833.82,862.17,nan,856.87,859.8,862.17,nan
Oper.Income Margin,3.09,3.85,3.97,nan,5.13,3.06,2.94,nan
Net Income Margin,1.28,1.87,1.25,nan,2.11,0.54,0.42,nan
ROA,1.79,2.95,2.78,nan,4.57,1.36,1.66,nan
ROE,4.34,6.24,4.95,nan,9.12,1.81,1.96,nan
EPS(KRW),373.0,557.0,457.0,nan,210.0,42.0,46.0,nan
BPS(KRW),9099.0,9434.0,9720.0,nan,9667.0,9696.0,9720.0,nan
DPS(KRW),150.0,150.0,150.0,nan,nan,nan,150.0,nan
PER,10.23,7.02,8.26,nan,nan,nan,nan,nan
PBR,0.42,0.41,0.39,nan,0.42,0.39,0.39,nan
Issued Shares,49347.0,49347.0,49347.0,nan,49347.0,49347.0,49347.0,nan
Div Yield,3.93,3.84,3.97,nan,nan,nan,3.97,nan
