계정,2022/06,2023/06,2024/06,2025/06(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1152.0,1592.0,1625.0,nan,431.0,342.0,354.0,nan
Operating Income,-109.0,120.0,192.0,nan,25.0,36.0,50.0,nan
Oper.Income(Rep.),-109.0,120.0,192.0,nan,25.0,36.0,50.0,nan
Net Income,-279.0,-313.0,550.0,nan,-82.0,107.0,187.0,nan
Net Income(Contr.),-113.0,-95.0,554.0,nan,-7.0,94.0,179.0,nan
Net Income(Minor.),-166.0,-218.0,-3.0,nan,-75.0,14.0,8.0,nan
Total Assets,6288.0,6741.0,7256.0,nan,7256.0,7373.0,7920.0,nan
Total Liabilities,776.0,929.0,627.0,nan,627.0,673.0,897.0,nan
Total Equity,5512.0,5812.0,6628.0,nan,6628.0,6700.0,7023.0,nan
Net Income(Contr.),4519.0,5113.0,5896.0,nan,5896.0,5960.0,6231.0,nan
Net Income(Minor.),993.0,699.0,732.0,nan,732.0,740.0,792.0,nan
Capital Stock,50.0,50.0,50.0,nan,50.0,50.0,50.0,nan
Total Debt/Equity,14.09,15.98,9.46,nan,9.46,10.05,12.78,nan
Reserve Ratio,8937.32,10126.16,11691.56,nan,11691.56,11819.09,12361.87,nan
Oper.Income Margin,-9.5,7.56,11.82,nan,5.84,10.64,14.23,nan
Net Income Margin,-9.81,-5.96,34.06,nan,-1.51,27.35,50.47,nan
ROA,-4.45,-4.8,7.86,nan,-4.32,5.88,9.76,nan
ROE,-2.52,-1.97,10.06,nan,-0.44,6.32,11.73,nan
EPS(KRW),-1130.0,-949.0,5535.0,nan,-65.0,936.0,1788.0,nan
BPS(KRW),45187.0,51131.0,58958.0,nan,58958.0,59595.0,62309.0,nan
DPS(KRW),25.0,100.0,150.0,nan,150.0,nan,nan,nan
PER,nan,nan,1.64,nan,nan,nan,nan,nan
PBR,0.21,0.17,0.15,nan,0.15,0.13,0.12,nan
Issued Shares,10000.0,10000.0,10000.0,nan,10000.0,10000.0,10000.0,nan
Div Yield,0.27,1.15,1.65,nan,1.65,nan,nan,nan
