계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1096.0,900.0,1301.0,nan,194.0,173.0,842.0,nan
Operating Income,32.0,-20.0,-28.0,nan,4.0,-22.0,14.0,nan
Oper.Income(Rep.),32.0,-20.0,-28.0,nan,4.0,-22.0,14.0,nan
Net Income,-1.0,-91.0,-149.0,nan,5.0,-22.0,-104.0,nan
Net Income(Contr.),-1.0,-87.0,-148.0,nan,2.0,-22.0,-100.0,nan
Net Income(Minor.),1.0,-4.0,-1.0,nan,3.0,-0.0,-4.0,nan
Total Assets,1232.0,1467.0,1446.0,nan,1295.0,1876.0,1446.0,nan
Total Liabilities,654.0,737.0,859.0,nan,607.0,1187.0,859.0,nan
Total Equity,578.0,730.0,587.0,nan,688.0,689.0,587.0,nan
Net Income(Contr.),552.0,704.0,562.0,nan,658.0,660.0,562.0,nan
Net Income(Minor.),26.0,27.0,25.0,nan,30.0,29.0,25.0,nan
Capital Stock,276.0,346.0,351.0,nan,346.0,351.0,351.0,nan
Total Debt/Equity,113.13,100.92,146.39,nan,88.26,172.28,146.39,nan
Reserve Ratio,100.11,103.59,59.94,nan,90.45,87.87,59.94,nan
Oper.Income Margin,2.96,-2.27,-2.17,nan,1.93,-12.87,1.64,nan
Net Income Margin,-0.14,-9.67,-11.34,nan,0.79,-12.61,-11.82,nan
ROA,-0.09,-6.76,-10.22,nan,1.39,-5.6,-24.94,nan
ROE,-0.28,-13.85,-23.32,nan,0.93,-13.26,-65.19,nan
EPS(KRW),-3.0,-136.0,-210.0,nan,2.0,-31.0,-142.0,nan
BPS(KRW),1001.0,1018.0,800.0,nan,952.0,939.0,800.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,nan,nan,nan,nan,nan
PBR,1.35,2.65,1.65,nan,2.18,2.28,1.65,nan
Issued Shares,55216.0,69123.0,70238.0,nan,69123.0,70238.0,70238.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
