계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,65.0,73.0,147.0,nan,nan,nan,nan,nan
Operating Income,-46.0,-42.0,10.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),-46.0,-42.0,10.0,nan,nan,nan,0.0,nan
Net Income,-45.0,-45.0,9.0,nan,nan,nan,nan,nan
Net Income(Contr.),-45.0,-45.0,9.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,207.0,207.0,305.0,nan,nan,nan,305.0,nan
Total Liabilities,35.0,82.0,56.0,nan,nan,nan,56.0,nan
Total Equity,172.0,126.0,249.0,nan,nan,nan,249.0,nan
Net Income(Contr.),172.0,126.0,249.0,nan,nan,nan,249.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,53.0,53.0,64.0,nan,nan,nan,64.0,nan
Total Debt/Equity,20.06,65.06,22.63,nan,nan,nan,22.63,nan
Reserve Ratio,222.53,135.37,286.24,nan,nan,nan,286.24,nan
Oper.Income Margin,-70.62,-57.76,6.95,nan,nan,nan,nan,nan
Net Income Margin,-69.13,-61.36,6.43,nan,nan,nan,nan,nan
ROA,-14.05,-21.68,3.68,nan,nan,nan,nan,nan
ROE,-23.46,-30.14,5.04,nan,nan,nan,nan,nan
EPS(KRW),-421.0,-420.0,81.0,nan,nan,nan,0.0,nan
BPS(KRW),1613.0,1177.0,1931.0,nan,nan,nan,1931.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,70.77,nan,nan,nan,nan,nan
PBR,4.03,5.85,2.95,nan,nan,nan,2.95,nan
Issued Shares,10678.0,10678.0,12898.0,nan,nan,nan,12898.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
