계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,2784.0,3191.0,3077.0,nan,747.0,742.0,797.0,nan
Operating Income,49.0,80.0,143.0,nan,16.0,42.0,58.0,nan
Oper.Income(Rep.),49.0,80.0,143.0,nan,16.0,42.0,58.0,nan
Net Income,4.0,31.0,39.0,nan,-5.0,31.0,8.0,nan
Net Income(Contr.),7.0,34.0,40.0,nan,-5.0,29.0,9.0,nan
Net Income(Minor.),-3.0,-3.0,-1.0,nan,-0.0,1.0,-1.0,nan
Total Assets,2747.0,2779.0,2879.0,nan,2891.0,2953.0,2879.0,nan
Total Liabilities,1691.0,1710.0,1794.0,nan,1839.0,1877.0,1794.0,nan
Total Equity,1057.0,1069.0,1084.0,nan,1053.0,1076.0,1084.0,nan
Net Income(Contr.),1057.0,1073.0,1089.0,nan,1058.0,1079.0,1089.0,nan
Net Income(Minor.),-1.0,-3.0,-5.0,nan,-5.0,-4.0,-5.0,nan
Capital Stock,249.0,249.0,249.0,nan,249.0,249.0,249.0,nan
Total Debt/Equity,160.0,159.91,165.45,nan,174.69,174.52,165.45,nan
Reserve Ratio,324.84,330.94,337.52,nan,324.98,333.66,337.52,nan
Oper.Income Margin,1.74,2.5,4.64,nan,2.2,5.67,7.28,nan
Net Income Margin,0.25,1.06,1.31,nan,-0.64,3.92,1.09,nan
ROA,0.16,1.13,1.38,nan,-0.72,4.18,1.07,nan
ROE,0.65,3.18,3.72,nan,-1.8,10.89,3.2,nan
EPS(KRW),28.0,136.0,161.0,nan,-19.0,117.0,35.0,nan
BPS(KRW),4248.0,4309.0,4375.0,nan,4250.0,4337.0,4375.0,nan
DPS(KRW),25.0,25.0,30.0,nan,nan,nan,30.0,nan
PER,126.01,23.13,16.04,nan,nan,nan,nan,nan
PBR,0.82,0.73,0.59,nan,0.73,0.73,0.59,nan
Issued Shares,24939.0,24939.0,24939.0,nan,24939.0,24939.0,24939.0,nan
Div Yield,0.72,0.8,1.16,nan,nan,nan,1.16,nan
