계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,8299.0,6829.0,6517.0,nan,1707.0,1536.0,1613.0,nan
Operating Income,448.0,63.0,78.0,nan,37.0,4.0,-8.0,nan
Oper.Income(Rep.),448.0,63.0,78.0,nan,37.0,4.0,-8.0,nan
Net Income,575.0,60.0,25.0,nan,58.0,-24.0,-48.0,nan
Net Income(Contr.),538.0,32.0,16.0,nan,55.0,-25.0,-51.0,nan
Net Income(Minor.),37.0,28.0,9.0,nan,3.0,1.0,3.0,nan
Total Assets,9979.0,9757.0,10137.0,nan,9929.0,9886.0,10137.0,nan
Total Liabilities,3787.0,3701.0,4494.0,nan,3874.0,3856.0,4494.0,nan
Total Equity,6192.0,6055.0,5643.0,nan,6055.0,6030.0,5643.0,nan
Net Income(Contr.),5985.0,5861.0,5607.0,nan,5858.0,5833.0,5607.0,nan
Net Income(Minor.),207.0,195.0,37.0,nan,196.0,197.0,37.0,nan
Capital Stock,128.0,130.0,133.0,nan,133.0,133.0,133.0,nan
Total Debt/Equity,61.16,61.12,79.64,nan,63.98,63.95,79.64,nan
Reserve Ratio,4815.21,4646.47,4267.0,nan,4599.91,4580.79,4267.0,nan
Oper.Income Margin,5.39,0.92,1.2,nan,2.14,0.28,-0.48,nan
Net Income Margin,6.49,0.47,0.25,nan,3.23,-1.62,-3.15,nan
ROA,5.78,0.61,0.25,nan,2.35,-0.98,-1.92,nan
ROE,9.37,0.55,0.28,nan,3.78,-1.71,-3.55,nan
EPS(KRW),1941.0,117.0,61.0,nan,209.0,-95.0,-203.0,nan
BPS(KRW),22655.0,23455.0,25853.0,nan,23650.0,23554.0,25853.0,nan
DPS(KRW),231.0,234.0,240.0,nan,nan,nan,240.0,nan
PER,7.28,238.93,800.74,nan,nan,nan,nan,nan
PBR,0.62,1.19,1.9,nan,1.16,1.49,1.9,nan
Issued Shares,27736.0,26349.0,22397.0,nan,26349.0,26349.0,22397.0,nan
Div Yield,1.64,0.83,0.49,nan,nan,nan,0.49,nan
