계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,18540.0,19106.0,27098.0,30822.0,7070.0,7193.0,6176.0,7919.0
Operating Income,7516.0,7680.0,11825.0,13445.0,3321.0,3244.0,2155.0,3855.0
Oper.Income(Rep.),7516.0,7680.0,11825.0,nan,3321.0,3244.0,2155.0,nan
Net Income,5002.0,5941.0,13026.0,11434.0,3414.0,1214.0,4912.0,3268.0
Net Income(Contr.),5002.0,5954.0,13061.0,11398.0,3419.0,1221.0,4921.0,3325.0
Net Income(Minor.),0.0,-13.0,-35.0,nan,-5.0,-7.0,-9.0,nan
Total Assets,60378.0,64405.0,79195.0,90234.0,71465.0,72774.0,79195.0,nan
Total Liabilities,9214.0,8816.0,10903.0,11075.0,10511.0,10187.0,10903.0,nan
Total Equity,51164.0,55588.0,68291.0,79159.0,60954.0,62588.0,68291.0,nan
Net Income(Contr.),51112.0,55544.0,68278.0,79321.0,60929.0,62568.0,68278.0,nan
Net Income(Minor.),52.0,44.0,13.0,-162.0,26.0,19.0,13.0,nan
Capital Stock,49.0,49.0,49.0,50.0,49.0,49.0,49.0,nan
Total Debt/Equity,18.01,15.86,15.97,13.99,17.24,16.28,15.97,nan
Reserve Ratio,104037.05,112709.28,140131.63,nan,125255.86,128565.25,140131.63,nan
Oper.Income Margin,40.54,40.2,43.64,43.62,46.97,45.1,34.89,48.69
Net Income Margin,26.98,31.16,48.2,36.98,48.36,16.97,79.68,41.98
ROA,8.51,9.52,18.14,13.5,19.42,6.73,25.86,16.51
ROE,10.29,11.16,21.1,15.44,22.78,7.91,30.09,19.48
EPS(KRW),10194.0,12221.0,27162.0,23789.0,7096.0,2549.0,10273.0,6939.0
BPS(KRW),104137.0,114849.0,144190.0,167225.0,128896.0,132298.0,144190.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,16.48,15.84,11.51,16.16,nan,nan,nan,nan
PBR,1.61,1.69,2.17,2.3,2.18,2.59,2.17,nan
Issued Shares,49082.0,48363.0,47907.0,nan,47889.0,47897.0,47907.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
