계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,1556.0,1291.0,1132.0,nan,265.0,494.0,198.0,nan
Operating Income,72.0,-56.0,-190.0,nan,-71.0,-43.0,-53.0,nan
Oper.Income(Rep.),72.0,-56.0,-190.0,nan,-71.0,-43.0,-53.0,nan
Net Income,-211.0,-175.0,-241.0,nan,-75.0,-35.0,-107.0,nan
Net Income(Contr.),-123.0,-124.0,-201.0,nan,-73.0,-36.0,-73.0,nan
Net Income(Minor.),-88.0,-51.0,-39.0,nan,-2.0,1.0,-34.0,nan
Total Assets,3329.0,3134.0,2599.0,nan,3099.0,2771.0,2599.0,nan
Total Liabilities,1702.0,1683.0,1388.0,nan,1747.0,1453.0,1388.0,nan
Total Equity,1628.0,1451.0,1211.0,nan,1352.0,1317.0,1211.0,nan
Net Income(Contr.),1200.0,1085.0,868.0,nan,1002.0,967.0,868.0,nan
Net Income(Minor.),428.0,367.0,344.0,nan,350.0,351.0,344.0,nan
Capital Stock,140.0,140.0,140.0,nan,140.0,140.0,140.0,nan
Total Debt/Equity,104.56,115.95,114.56,nan,129.19,110.33,114.56,nan
Reserve Ratio,759.93,677.48,521.85,nan,618.23,592.71,521.85,nan
Oper.Income Margin,4.64,-4.32,-16.74,nan,-26.77,-8.73,-26.72,nan
Net Income Margin,-7.89,-9.6,-17.79,nan,-27.52,-7.2,-36.71,nan
ROA,-6.21,-5.42,-8.4,nan,-9.19,-4.72,-15.87,nan
ROE,-9.87,-10.86,-20.63,nan,-28.11,-14.45,-31.78,nan
EPS(KRW),-440.0,-444.0,-722.0,nan,-262.0,-127.0,-261.0,nan
BPS(KRW),4300.0,3887.0,3109.0,nan,3591.0,3464.0,3109.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,nan,nan,nan,nan,nan,nan
PBR,1.9,1.18,0.69,nan,0.86,0.68,0.69,nan
Issued Shares,27906.0,27906.0,27906.0,nan,27906.0,27906.0,27906.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
