계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,490.0,501.0,530.0,nan,nan,nan,nan,nan
Operating Income,81.0,-3.0,40.0,nan,nan,nan,nan,nan
Oper.Income(Rep.),81.0,-3.0,40.0,nan,nan,nan,0.0,nan
Net Income,66.0,-1.0,50.0,nan,nan,nan,nan,nan
Net Income(Contr.),66.0,-1.0,50.0,nan,nan,nan,nan,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,419.0,667.0,651.0,nan,nan,nan,651.0,nan
Total Liabilities,172.0,166.0,99.0,nan,nan,nan,99.0,nan
Total Equity,248.0,501.0,552.0,nan,nan,nan,552.0,nan
Net Income(Contr.),248.0,501.0,552.0,nan,nan,nan,552.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,nan,nan,0.0,nan
Capital Stock,77.0,104.0,104.0,nan,nan,nan,104.0,nan
Total Debt/Equity,69.22,33.07,17.95,nan,nan,nan,17.95,nan
Reserve Ratio,221.62,382.84,431.39,nan,nan,nan,431.39,nan
Oper.Income Margin,16.51,-0.5,7.54,nan,nan,nan,nan,nan
Net Income Margin,13.41,-0.18,9.52,nan,nan,nan,nan,nan
ROA,17.39,-0.16,7.65,nan,nan,nan,nan,nan
ROE,30.58,-0.24,9.57,nan,nan,nan,nan,nan
EPS(KRW),427.0,-5.0,243.0,nan,nan,nan,0.0,nan
BPS(KRW),1608.0,2414.0,2657.0,nan,nan,nan,2657.0,nan
DPS(KRW),nan,nan,nan,nan,nan,nan,nan,nan
PER,nan,nan,12.73,nan,nan,nan,nan,nan
PBR,nan,2.12,1.16,nan,nan,nan,1.16,nan
Issued Shares,15415.0,20771.0,20771.0,nan,nan,nan,20771.0,nan
Div Yield,nan,nan,nan,nan,nan,nan,nan,nan
